,1.Name,2.Author
87,今天看痒局长直播发现吃鸡可以在上一把枪不卸装备的情况下直接装,污鸣小猪
88,双排1=1  我不菜,如期而临
89,新地图玩了几天了，越来越喜欢大了，主要小，玩着刺激，下去就干,我愿为你...
90,第三人称有组队的吗,扮帅很好玩
91,这个东西他带不动吃鸡吗,不是hero
92,绝地求生出新地图了，玩着感觉不错，不过有的时候会卡，咱也不敢,小包子怎...
93,这就被封了？最近不能出门，下午我强忍着笔记本卡顿玩了两局。第,碎了爱的...
94,fpp2=   有妹妹,西瓜
95,这怎么办啊，有没有大神教一下,娓叉煋X鈥唕
96,进游戏就闪退，检查完整性显示有一个1m的文件没有是咋回事啊，,起_个名...
97,什么意思啊...玩不了,贴吧用户_...
98,自闭城，来两个逗比，技术差不多，喜欢刚的，2等2,进图死c谢谢
99,等个上海小姐姐,上海玩家...
100,有一起吃鸡的吗，吃不吃鸡无所谓，主要是快乐,阿沁儿
101,找吃鸡队友专打新图卡拉金大图不玩。,记得吗
102,有没有吃鸡队伍缺人了我不是很强,見琦鳴
103,很急！！冲销四万多rmb没开过挂，被封vac怎么办！！！！！,卡死君
104,跪求大神帮忙解决一下问题！！！,凉凉
105,pubg3=1来个妹，本人猛男带躺鸡,辛普森森
106,跳自闭城掉帧严重，有时候能到60多显卡占用率也上不去五六十，,逍遥小豹
107,这两个头套现在还能买到吗,快乐zai种
108,自己的闲置小号 基本都是以前的东西估计得有几个月没上了 想出,TxGu一K
109,最近喜欢上四排了 找队友找队友,TaoGuoGuoLsn
110,大佬们这配置能玩吗，还是去隔壁PUBG Lite？,Spark
111,这压枪什么水平，训练场看到的，是科技的力量吗,ntix
112,steam主页面送皮肤是盗号的,2333小哥
113,这到底是vac还是官方封？,GDywt8
114,吧里有大佬知道龙四哥的pubg声音怎么设置的，脚步声那么大，,C2stan
115,最近我同学和我的steam账号一个月之内都被盗了。都是只自己,last炫神
116,问一句有没有打游戏的，卡拉金2等2，不要科技，不要傻的，不要,沐沐
117,1=全世界 来个猛男吧,我三岁...
118,老哥们 怎么弄出显示延迟的那个东西啊,Attac
119,就想找个打游戏比较厉害的队伍有那么难吗？四排双排都行啊声音好,亦晴亦雨
120,新手，有没有一起玩呀！,帅气的...
121,三缺一猛男吃鸡小队 本人1.5kd 4000+,依旧是帅...
122,请问这个配置能玩吃鸡吗？不太懂电脑,是个好名...
123,2=2本人猛男最好来个妹子，带躺鸡（有挂另说）,辛普森森
124,两个号没开挂直接封，我***绝版的皮肤号没开挂也封，我真都惊,西瓜Tao666
125,PUBG新手 找固定队友 技术无所谓 娱乐为主 1=全世界,希娅丶
126,"找个固定队友，TPP,FPP都可以。没有技术要求",执念66666777
127,这个配置玩吃鸡画面感觉不怎么舒服，没有网吧那么丝滑，各位大佬,起风了
128,这个能信么  大佬们,RouG
129,好久没玩今天下载回来结果打不开怎么都找不到原因这怎么解决解决,拖鞋仔
130,兄弟们遇没遇到这种情况 pubg社区论坛有发布什么领取免费皮,贴吧用户_...
131,yy21848500  全天有人在线  开黑来人喊管理卡黄,A诫譟
132,玩吃鸡吗？fpp,锤锤怪
133,缺一个队友，四排双排都可,苦酒啊
134,恰点好友 常在线的 固定队友也🉑️ FPP百场2.2,ZOE
135,想问一下吃鸡怎么得武器皮肤,庸人自吻
136,pubg有人帮我带小姐姐么 我时长1000+可自保 一起玩的,蘑菇派来...
137,哈哈哈,月色如你
138,账号被异地登录开挂封号还能不能解封……,Two_rows
139,有没有固定吃鸡的小姐姐我们这边缺人 团宠哦,月色如你
140,大佬们这是怎么回事,一只小安城
141,有谁玩过PUBG手游？国际服的。,ColPZo
142,无聊,建设银行
143,使用汽油桶淘汰敌人任务 做了2次了，都不行！,明小明
144,麦克风回音问题，实在是不知道怎么整了，解决有赏。。。,用户名是...
145,【PUBG吧抽奖活动-福利帖】~回复可随机获得加速器会员~,歪吧第一...
146,论我如何解封我的被盗封号的吃鸡号,刀无痕剑...
147,大家都用什么加速器啊,不超六个...
148,M416压枪,鼠标宏定...
149,一起开黑，三千分左右来,大头鱼要...
150,缺一个妹纸，双排或者四排,苦酒啊
151,pubg五千分被误封 哭了,欲哥
152,游戏一直进不去 显示已连接。正在等待响应什么情况啊,小泽玛利...
153,pubg亚服3=1来妹妹主要聊天,你还记得...
154,被封了 申诉了几天,莫须有095
155,广西靓仔组疫情期无聊的同志一起打，能说会道就好，毕竟我也菜,贴吧用户_...
156,啊…到底还有没有刚买游戏的菜菜姐妹了啊 👭一起玩吧…,king花舞
157,找几个尽量能有点实力fpp选手 一起6000分  不止pub,于森阿
158,有没有和我一样的萌新兄弟组队玩的我个人比较搞笑风格的主要是孤,zhoulele双鱼go
159,这配置玩吃鸡可以嘛。感觉最近玩总会有闪退,多想拥抱...
160,i5 1050ti笔记本能玩吃鸡么  为啥我玩的时候总有点卡,抱走小皮...
161,3东北人=1个臭妹妹,筱嘉怡呀
162,pubg怎么解封啊🙏🙏🙏,RouG
163,掉帧,spiritniubi
164,有双流吃鸡的老铁吗。。,欲言却止1...
165,为什么吃鸡老是崩溃打到一半,贴吧用户_...
166,有没有早车,林冉
167,有不有小姐姐哇，有小姐姐私我，可爆照！可带躺！,vnsc
168,这个配置为什么还会掉帧呢就是掉完之后非常不流畅，是因为什么东,山楂片好吧
169,账号被盗才找回被封了,廾兀
170,就想问一嘴，绑着steam验证，号还会被盗吗？,橘子汽水...
171,关于绝地求生申诉和解封的一点个人心得,俄陆军总长
172,Mscvp140. dll问题，怎么解决，下载不了c++20,smile望月天狼
173,进不去游戏求助~在线等,mayuanxi8
174,卡拉金 2=2  yy60239349,ArowBc
175,新买的套装，大家看好看吗,坏小糖
176,请教一下压枪大佬，我的手压枪的时候很不稳（可能鼠标辣鸡的原因,令人窒息_
177,有小姐姐来一起快乐白给吗！！！！！,暴躁冷小...
178,求大神一看,呵呵1963640602
179,绝地文件缺失一直无限循环，我也不知道什么回事，有兄弟支个招吗,刻苦5乐途
180,卡拉金tp四排有没有，带带我,ArowBc
181,缺人吗？带我一个好不好？,妖怪鲶鱼...
182,steam账号被盗，找回的当天pubg被封号,酒闌不必...
183,求解啊，玩着玩着就退出来到大厅了，然后点击重连就出现这样的英,贴吧用户_...
184,恕我直言 见到女的就骂变声器的都没有母亲,小猫グ
185,你们见过这种圈吗？？？还剩这么多人？？什么鬼,国际鲁鲁
186,m416皮肤怎么买啊,贴吧用户_...
187,请问登不上服务器怎么办,南风逐岸
188,qun937828461决堤辅住来就送卡不稳吃屎,阿川川
189,pubg亚服3=1来个妹妹娱乐为主吃鸡为辅,你还记得...
190,我pubg总是在匹配进游戏时 连接超时 5.1.3   怎么,应清明
191,你们现在能 玩吗？  2020.02.03  21：40,xtusrpa
192,求问OGBG刺青袖套怎么得,猪猪猪猪...
193,新手提问scar满配的时候，换用m4，怎么操作才能快速把sc,k2鱼儿哥
194,关于pubg掉帧闪退,博洋
195,有没有大佬知道这个情况怎么解决？,我是内测
196,绝地求生问题，画面卡死，仍能听到队友说话,因陋就简丶
197,有点菜 找队友,珍惜回忆丶
198,晚上9点左右有人一起吃鸡吗？ 留个联系方式 我加你一起玩,韩土根
199,东南亚三缺一 缺个妹妹。yy31988405。 在线等,慵懒i
200,双排！,建设银行
201,东南亚来几个给力的队友  1=3  亚服太难打了,xiaohaoaij
202,晚上有人双排么，好久不玩了，闲的发慌,大顺童话
203,恰个队友=1=1,苦酒啊
204,一起玩的有么 滴滴一波,91Uu
205,在家无聊打游戏？不如加入高质量陪玩团队，入职不收费，安排老板,柠初与猫
206,我进不去游戏了,神王赵利勤
207,uu加速器丢包严重怎么整？是不是人太多崩了。。,wjxasdand1
208,绝地求生win10鼠标间歇失灵,sk8秦涛
209,吃鸡1=速度来,抉择的路...
210,登录PUBG有没有大佬帮忙解决下啊,大驼子哥哥
211,玩的时候一直跳这个 游戏直接闪退 磁盘会响 咋解决,贴吧用户_...
212,想找一些小伙伴恰🐔，1=全世界，我们一起菜鸡互啄可还行！,喜欢或是...
213,甜饼chocotaco 的粉丝有吗？超爱他！！如果有同是甜饼,Spike2019
214,pubg每天都玩，上yy或者游戏里语音都可以，不厉害的一起组,磊哥哥呀
215,2=2来两个脾气好一点的 心态好的,【全额】
216,玩一把一崩溃是什么毛病啊 16g的内存,我真受够...
217,韩服三等一 有没有单身可撩 麦清晰 厉害点的小哥哥哦,离别曲忆...
218,卡拉金tpp1=1 晚上吃完饭打,路与坟
219,前几天更新后，现在pubg只要进游戏3～5分钟，就显示游戏进,年轻丶WZ
220,为什么我笔记本玩会卡顿  帧数波动不大就是左右滑动会变成ppt  笔记本8g   1050 有没有大哥能解决一下,贴吧用户_...
221,枪皮任务,Lxx丶丨
222,我想问一下，这游戏亚服还能玩吗？一早上进十五把就一局是正常人,待嘉闺中
223,大佬们现在还有m4 cdk吗，哪个平台有,活着只为...
224,2=2，来不厉害的，我们俩都是菜鸟,鹿礼礼
225,fpp 无线单排选手在线等待,满月
226,等个妹儿～,GuHuan
227,在线蹲一个大哥，我开飞机贼溜,Aimy
228,这个游戏是不是已经没有萌新了，遇到人那一刻就是死亡宣告还有没,圈地自娱
229,pubg现在有无人  1=3,離陌
230,PCG红号可以使用吗？？？,叫我小短...
231,卡在这个界面，求助连pubglite也是一样裸连＋两个加速器,飞行模式
232,吃鸡海岛图后期掉帧严重。开局144  决赛就只有70-80了,南瓜...
233,笔记本玩吃鸡滑动就会卡顿变成ppt那样 但是帧数又挺稳定的波,贴吧用户_...
234,pubg在线一等全世界！,余大三
235,每次吃鸡落地延迟好大，但是左上角显示都正常，fps60左右，,溯年zc
236,连系统都开始疼我了,漏水了
237,pubg3=1 来个妹妹 现在玩,2u
238,吃鸡一开直接蓝屏电脑自动重启电脑玩lol一点事没有卸载重装,卿笑似恶...
239,双排 四排有缺人的吗  玩的很菜 心态好,走aaaa啊
240,这到底是怎么回事呀？,哎呀呀起...
241,现在这孤儿演都不演了，直接给我穿墙透死了,灯灯_闯
242,双11充了3年腾讯加速器给了一个公仔,syj861119
243,你们今天有这样的情况吗，游戏刚登上去，啥都没干呢，突然就闪退,Ruisk
244,电脑运行pubg时返回大厅或匹配成功加载游戏时会卡死,丿崩牙兔
245,有大佬知道怎么回事儿吗？为什么我每次第一次进游戏fps就30,57刀
246,Fpp 1=全世界 打kd,荒城y
247,欧服卡拉金有的dd我,Alleys
248,有大佬知道怎么回事儿吗？为什么我每次第一次进游戏fps就30,57刀
249,求个 PUBG LITE 下载链接 官方下载器下的太慢了,流光若逝...
250,游戏脚步声听不清楚，没有花里胡哨。想换个耳机。推荐个200以,MiniSy
251,pubg1等1,建设银行
252,TPP在线1⃣️等3⃣️，实在不想野排了，YY2828999,叶黎晰
253,PUBG水友赛有人来吗,斗鱼冯自...
254,有老铁知道怎么申诉解封吃鸡号吗？？？被误封了    求解答,Sibro
255,3＝1最好来个老妹儿，没有老妹儿来个狠人。亚服大图，嘤嘤嘤,江東
256,FPP双排固玩有没有。我百场2.0,镭刮刮
257,有大佬知道这个怎么解决吗,贴吧用户_...
258,Steam账户被盗原来是有骗子在PUBG社区中心放假链接钓鱼,双喜525441352
259,社区市场,MiniSy
260,求问大家！那个粉蓝双马尾还会上架吗……,寻麓
261,谁他妈打游戏,林冉
262,一等全世界,余生诀
263,一直卡在这个界面，重下过了也验证过属性了，加速器也挂了。求解,707734191xj
264,Fpp自闭城有一起玩的🐎，,HAtTc
265,pubg打发时间,豆浆爱油...
266,话唠 有无 话唠 有无,摸肝级
267,有没有小姐姐玩pubg啊，求一个小姐姐,生命源于...
268,我pubg  打开就会出这个弹窗   怎么解决,赛亚喵彡
269,各位兄弟集美萌，我想问下现在怎么出售pubg衣服枪皮肤啊我看,桃夭ty
270,3等1,建设银行
271,这是什么情况，大佬知道怎么解决吗,贴吧用户_...
272,有吗 1等1 甜蜜一下,press
273,请教万能的吧友，我一直够买不了商城的物品是怎么回事,阿烽飞扬
274,近距离一开枪或被别人打就卡 有人知道为什么吗,nineisgod99
275,pubg双排,建设银行
276,1=1  3=1你选，来嘛,苦酒啊
277,给位彦祖救救孩子把进游戏开加速器延迟500不开加速器延迟50,二哥
278,想买一套电脑耍pubg有没有好哥哥推荐一套配置，对这方面不太,栾栾栾栾阿
279,fpp图随意萌新求组个队有麦有yy要啥都给现在玩的底下留yy,是螃蟹阿
280,打开吃鸡就是这个无法创建  谁知道怎么弄,邻家男孩
281,steam不是炸了吗我都进不去steam你们怎么进的pubg,swordofskysy
282,组队游戏马上崩溃,小明小名...
283,游戏进不去,恶补苦难
284,游戏上不去了,xiaohaoaij
285,打开之后就不动了，一直这样，有没有大佬解救一下！！！,blitin
286,讲个笑话，蓝洞反外挂系统,要吃窝窝...
287,关于 吃鸡 cpu高占用率的问题！！在线等！,不甘愿找...
288,找个主播，带盲人镜是个胖子，我忘了叫啥了，也不知道在哪直播？,black_595
289,刚玩不久 有固玩吗 自己玩太无聊了 每晚在线kd1 和我差不,最不舍的...
290,我就想找一个或三个一起吃鸡的,6勃大精深9
291,暗示吗,那就我觉...
292,账号很容易被盗的。,ZZhanhuo
293,现在有一起的吗？固,荒城y
294,1=1 甜蜜双排有吗,报馆
295,问下各位，游戏进去就一直非正常启动路径请联系网络管理员这什么,丿华灬仲
296,pubglite有人一起吗，固玩。#pubglite##pu,CC大E
297,这个配置玩吃鸡画质怎么调合适呢？,八级大...
298,请问下 大佬们 因为这冠状病毒不能出门网吧也关了 哪位好心人,小颖砸
299,卡拉金 来人啊 1.0左右就行,双手川字纹
300,pubg老是出现beattley launcher 已经卸载,伯仲膏药
301,想问下各位大佬这个怎么解决,佐佐助助
302,赛季任务的更换一次每日任务怎么完成,s442343
303,韩国KAKAO服来队友,xiaohaoaij
304,组队能开语音带点脑子的人，现在就可以玩，素质玩家,大头鱼要...
305,我重下了了一次PUBG，点开始游戏但游戏一直不跳出来，是什么原因,L蟒蛇
306,有没有大佬更新以后进游戏以后一直闪退,敌友皆非
307,听说这吧大神多，本人steam被盗号，密码和手机号也被改了，,火之木影
308,开黑吗朋友,TOMMMY
309,来个人一起吃鸡啊，太无聊了！！！！！！！！！！！！！！！！！,Fuccboiss
310,这配置比较低端，能玩吗，流畅是指望不上了,吾名烟雨
311,这个配置的笔记本可以玩么,智障少年
312,赛季任务说要打摄像头，我找到了能打的，但是怎么打都打不掉为啥,青柠余烬
313,寻两个固定队友，已有两个搞笑逗比，经常在线，菜不菜没关系。开,猪猪pig
314,想要个欧服或者俄服的fpp小姐姐，下午或者晚上那种,山茶花
315,[求助]绝地求生更新到最后一点点卡住！,心事赴风雨z
316,来个固玩哥哥,伿梨
317,pubg lite时遇到MSVCP140.dll丢失（解绝方法）,我的世界b...
318,有没有懂pubglite的兄弟，我一直直卡在这个界面动不，之,Hd哈登CyC
319,发表一点小意见对于卖瓜的我想说进入游戏界面之后重复播放qq群,chanluyao
320,现在有无吃鸡队友,離陌
321,TPP，3缺1，有落单的吗,湖北砍王
322,萌新不容易,没事偷着...
323,pubg fpp 2=2,右右右柚...
324,这是什么意思 steam移动应用就是我这个手机啊,躲进你梨...
325,吃鸡被解封了，但是进游戏还是封禁状态,BIU家风
326,小外挂牛逼啊 演都不演,叫我小短...
327,来个妹妹一起游戏,Geiten
328,各位吃鸡的队友请注意现在steam社区有人冒充管理员盗号,魔煞孤星...
329,卡拉金🈶️🈚️ 我菜 玩儿心态的别来 上赛季5000分kd0,Blue蓝
330,有人刷挑战任务吗,朝悚
331,tpp来人开搞，我是菜鸡，娱乐娱乐,凉凉君丶
332,处理器R51400 散热器处理器自带 显卡 RX580 4G,小伙好样de
333,求助 怎么把服务器调成其他服,c梦里梦外c
334,有没有懂电脑的大佬 我配了台电脑玩吃鸡 不懂 帮我看一下行不,程程程十九
335,为什么点击pubg后，没有任何反应，游戏画面根本就不出来？,骑风剑客
336,来个妹妹一起游戏,Geiten
337,3-1来个妹妹,Geiten
338,大图2=2。我们两个全是老玩家回归。希望来个妹妹。快乐吃鸡,慵懒i
339,嗝儿漂亮帅气的小姐姐小哥哥要组队打游戏就来加微信哈lucas,别碰毛绒...
340,被打了或者开镜打完子弹变成静步  求助,闵行权志...
341,为什么我二倍镜 全息 看不清啊,xiao_sidada
342,pubg总是闪退  啥原因？,巡也无踪影
343,速来开黑,番茄味小...
344,3=1 来个女孩,忆志
345,一直连不进，显示连接超时513，这是这么回事？？？,名字真难...
346,一直卡麦，重启了好几次了怎么回事,飞飞哥哥棒
