,link,name,price,symbol,volume
0,https://coinmarketcap.com/currencies/bitcoin,Bitcoin,10695.85,BTC,197907019455
1,https://coinmarketcap.com/currencies/ethereum,Ethereum,354.86,ETH,40028894816
2,https://coinmarketcap.com/currencies/tether,Tether,1.00,USDT,15467581626
3,https://coinmarketcap.com/currencies/xrp,XRP,0.240450,XRP,10852993003
4,https://coinmarketcap.com/currencies/bitcoin-cash,Bitcoin Cash,227.20,BCH,4210180639
5,https://coinmarketcap.com/currencies/binance-coin,Binance Coin,27.77,BNB,4009653647
6,https://coinmarketcap.com/currencies/polkadot-new,Polkadot,4.41,DOT,3760229715
7,https://coinmarketcap.com/currencies/chainlink,Chainlink,9.57,LINK,3348685052
8,https://coinmarketcap.com/currencies/bitcoin-sv,Bitcoin SV,170.77,BSV,3164186750
9,https://coinmarketcap.com/currencies/crypto-com-coin,Crypto.com Coin,0.152599,CRO,3104939023
10,https://coinmarketcap.com/currencies/cardano,Cardano,0.099220,ADA,3086995972
11,https://coinmarketcap.com/currencies/litecoin,Litecoin,45.25,LTC,2966574798
12,https://coinmarketcap.com/currencies/usd-coin,USD Coin,1.00,USDC,2538114030
13,https://coinmarketcap.com/currencies/eos,EOS,2.59,EOS,2422395961
14,https://coinmarketcap.com/currencies/tron,TRON,0.025836,TRX,1851379670
15,https://coinmarketcap.com/currencies/monero,Monero,95.56,XMR,1692668562
16,https://coinmarketcap.com/currencies/tezos,Tezos,2.21,XTZ,1649781908
17,https://coinmarketcap.com/currencies/stellar,Stellar,0.072906,XLM,1512071626
18,https://coinmarketcap.com/currencies/neo,Neo,19.39,NEO,1367878956
19,https://coinmarketcap.com/currencies/unus-sed-leo,UNUS SED LEO,1.26,LEO,1259501088
20,https://coinmarketcap.com/currencies/nem,NEM,0.116074,XEM,1044664021
21,https://coinmarketcap.com/currencies/cosmos,Cosmos,4.91,ATOM,1000308483
22,https://coinmarketcap.com/currencies/wrapped-bitcoin,Wrapped Bitcoin,10701.49,WBTC,984714871
23,https://coinmarketcap.com/currencies/huobi-token,Huobi Token,4.61,HT,968787424
24,https://coinmarketcap.com/currencies/multi-collateral-dai,Dai,1.01,DAI,915383118
25,https://coinmarketcap.com/currencies/vechain,VeChain,0.012515,VET,804878373
26,https://coinmarketcap.com/currencies/iota,IOTA,0.266358,MIOTA,740350892
27,https://coinmarketcap.com/currencies/yearn-finance,yearn.finance,23724.38,YFI,710964307
28,https://coinmarketcap.com/currencies/aave,Aave,0.509607,LEND,662488801
29,https://coinmarketcap.com/currencies/theta,THETA,0.762863,THETA,664074256
30,https://coinmarketcap.com/currencies/dash,Dash,67.10,DASH,653205037
