,repetition,rank,name,abbr,price,24hr_volume,mktcap,deeplink
0,1,401,B2BX,B2B,0.737452,0,14476032,https://coinmarketcap.com/currencies/b2bx
1,1,402,Fusion,FSN,0.304667,4373910,14359154,https://coinmarketcap.com/currencies/fusion
2,1,403,Nimiq,NIM,0.002124,882478,14353011,https://coinmarketcap.com/currencies/nimiq
3,1,404,Enigma,ENG,0.531058,2245154,14350192,https://coinmarketcap.com/currencies/enigma
4,1,405,GeminiDollar,GUSD,0.996321,3999020,14326357,https://coinmarketcap.com/currencies/gemini-dollar
5,1,406,Sentivate,SNTVT,0.005003,393176,14287301,https://coinmarketcap.com/currencies/sentivate
6,1,407,REPO,REPO,0.129288,505,14216363,https://coinmarketcap.com/currencies/repo
7,1,408,Cred,LBA,0.016910,1192126,14211212,https://coinmarketcap.com/currencies/libra-credit
8,1,409,ApolloCurrency,APL,0.000946,539019,13892546,https://coinmarketcap.com/currencies/apollo-currency
9,1,410,EcorealEstate,ECOREAL,0.066287,3112,13848709,https://coinmarketcap.com/currencies/ecoreal-estate
10,1,411,Zap,ZAP,0.058625,691664,13843882,https://coinmarketcap.com/currencies/zap
11,1,412,Venus,XVS,3.27,6778151,13830906,https://coinmarketcap.com/currencies/venus
12,1,413,ZBGToken,ZT,0.051721,1818401,13655228,https://coinmarketcap.com/currencies/zbg-token
13,1,414,Vertcoin,VTC,0.238725,165307,13612472,https://coinmarketcap.com/currencies/vertcoin
14,1,415,ProjectPai,PAI,0.009193,248568,13603701,https://coinmarketcap.com/currencies/project-pai
15,1,416,BDCCBiticaCOIN,BDCC,4.65,5341420,13601105,https://coinmarketcap.com/currencies/bdcc-bitica-coin
16,1,417,PirateChain,ARRR,0.079312,775907,13513375,https://coinmarketcap.com/currencies/pirate-chain
17,1,418,AgorasTokens,AGRS,0.451769,19527,13490631,https://coinmarketcap.com/currencies/agoras-tokens
18,1,419,MediBloc,MED,0.005079,121169,13482697,https://coinmarketcap.com/currencies/medibloc
19,1,420,Chromia,CHR,0.030213,1535537,13390351,https://coinmarketcap.com/currencies/chromia
20,1,421,Bit-ZToken,BZ,0.105466,5618584,13370893,https://coinmarketcap.com/currencies/bit-z-token
21,1,422,AMOCoin,AMO,0.000728,303377,13199009,https://coinmarketcap.com/currencies/amo-coin
22,1,423,Wixlar,WIX,0.005510,4111,13179781,https://coinmarketcap.com/currencies/wixlar
23,1,424,MiL.k,MLK,0.147952,914297,13168709,https://coinmarketcap.com/currencies/milk-alliance
24,1,425,PancakeSwap,CAKE,0.624040,3545328,13143135,https://coinmarketcap.com/currencies/pancakeswap
25,1,426,MovieBloc,MBL,0.001536,1145763,13136509,https://coinmarketcap.com/currencies/moviebloc
26,1,427,Constellation,DAG,0.010369,116823,13136008,https://coinmarketcap.com/currencies/constellation
