,deeplinks,name
0,https://coinmarketcap.com/currencies/solana,solana
1,https://www.coingecko.com/en/coins/request-network,request-network
2,https://coinmarketcap.com/currencies/swipe,swipe
3,https://www.coingecko.com/en/coins/stp-network,stp-network
4,https://coinmarketcap.com/currencies/bytom,bytom
5,https://www.coingecko.com/en/coins/arpa-chain,arpa-chain
6,https://coinmarketcap.com/currencies/nervos-network,nervos-network
7,https://www.coingecko.com/en/coins/medibloc,medibloc
8,https://coinmarketcap.com/currencies/dxchain-token,dxchain-token
9,https://www.coingecko.com/en/coins/metaverse-etp,metaverse-etp
10,https://coinmarketcap.com/currencies/monacoin,monacoin
11,https://www.coingecko.com/en/coins/lto-network,lto-network
12,https://coinmarketcap.com/currencies/nexo,nexo
13,https://www.coingecko.com/en/coins/bella-protocol,bella-protocol
14,https://coinmarketcap.com/currencies/ampleforth,ampleforth
15,https://www.coingecko.com/en/coins/gemini-dollar,gemini-dollar
16,https://coinmarketcap.com/currencies/status,status
17,https://www.coingecko.com/en/coins/grin,grin
18,https://coinmarketcap.com/currencies/iostoken,iostoken
19,https://www.coingecko.com/en/coins/apollo,apollo
20,https://coinmarketcap.com/currencies/storj,storj
21,https://www.coingecko.com/en/coins/nebulas,nebulas
22,https://coinmarketcap.com/currencies/thorchain,thorchain
23,https://www.coingecko.com/en/coins/dforce-token,dforce-token
24,https://coinmarketcap.com/currencies/kucoin-shares,kucoin-shares
25,https://www.coingecko.com/en/coins/ergo,ergo
26,https://coinmarketcap.com/currencies/verge,verge
27,https://www.coingecko.com/en/coins/darwinia-network-native-token,darwinia-network-native-token
28,https://coinmarketcap.com/currencies/yearn-finance-ii,yearn-finance-ii
29,https://www.coingecko.com/en/coins/pirate-chain,pirate-chain
30,https://coinmarketcap.com/currencies/swissborg,swissborg
31,https://www.coingecko.com/en/coins/carry,carry
32,https://coinmarketcap.com/currencies/divi,divi
33,https://www.coingecko.com/en/coins/dragonchain,dragonchain
34,https://coinmarketcap.com/currencies/pax-gold,pax-gold
35,https://www.coingecko.com/en/coins/empty-set-dollar,empty-set-dollar
36,https://coinmarketcap.com/currencies/rlc,rlc
37,https://www.coingecko.com/en/coins/yfvalue,yfvalue
38,https://coinmarketcap.com/currencies/bancor,bancor
39,https://www.coingecko.com/en/coins/bit-z-token,bit-z-token
40,https://coinmarketcap.com/currencies/penta,penta
41,https://www.coingecko.com/en/coins/nash-exchange,nash-exchange
42,https://coinmarketcap.com/currencies/kava,kava
43,https://www.coingecko.com/en/coins/defipulse-index,defipulse-index
44,https://coinmarketcap.com/currencies/steem,steem
45,https://www.coingecko.com/en/coins/zap,zap
46,https://coinmarketcap.com/currencies/matic-network,matic-network
47,https://www.coingecko.com/en/coins/chromia,chromia
48,https://coinmarketcap.com/currencies/komodo,komodo
49,https://www.coingecko.com/en/coins/nimiq,nimiq
50,https://coinmarketcap.com/currencies/apm-coin,apm-coin
51,https://www.coingecko.com/en/coins/groestlcoin,groestlcoin
52,https://coinmarketcap.com/currencies/horizen,horizen
53,https://www.coingecko.com/en/coins/btu-protocol,btu-protocol
54,https://coinmarketcap.com/currencies/just,just
55,https://www.coingecko.com/en/coins/qash,qash
56,https://coinmarketcap.com/currencies/rsk-infrastructure-framework,rsk-infrastructure-framework
57,https://www.coingecko.com/en/coins/zenon,zenon
58,https://coinmarketcap.com/currencies/helium,helium
59,https://www.coingecko.com/en/coins/platoncoin,platoncoin
60,https://coinmarketcap.com/currencies/gnosis-gno,gnosis-gno
61,https://www.coingecko.com/en/coins/bitkan,bitkan
62,https://coinmarketcap.com/currencies/hive-blockchain,hive-blockchain
63,https://www.coingecko.com/en/coins/cream,cream
64,https://coinmarketcap.com/currencies/bitshares,bitshares
65,https://www.coingecko.com/en/coins/aergo,aergo
66,https://coinmarketcap.com/currencies/serum,serum
67,https://www.coingecko.com/en/coins/trustswap,trustswap
68,https://coinmarketcap.com/currencies/electroneum,electroneum
69,https://www.coingecko.com/en/coins/b2bx,b2bx
70,https://coinmarketcap.com/currencies/chiliz,chiliz
71,https://www.coingecko.com/en/coins/nkn,nkn
72,https://coinmarketcap.com/currencies/wax,wax
73,https://www.coingecko.com/en/coins/pnetwork,pnetwork
74,https://coinmarketcap.com/currencies/velas,velas
75,https://www.coingecko.com/en/coins/aave-usdt,aave-usdt
76,https://coinmarketcap.com/currencies/fantom,fantom
77,https://www.coingecko.com/en/coins/dune,dune
78,https://coinmarketcap.com/currencies/energi,energi
79,https://www.coingecko.com/en/coins/venus,venus
80,https://coinmarketcap.com/currencies/irisnet,irisnet
81,https://www.coingecko.com/en/coins/raiden-network,raiden-network
82,https://coinmarketcap.com/currencies/aelf,aelf
83,https://www.coingecko.com/en/coins/safe-haven,safe-haven
84,https://coinmarketcap.com/currencies/uquid-coin,uquid-coin
85,https://www.coingecko.com/en/coins/fio-protocol,fio-protocol
86,https://coinmarketcap.com/currencies/ardor,ardor
87,https://www.coingecko.com/en/coins/libratoken,libratoken
88,https://coinmarketcap.com/currencies/utrust,utrust
89,https://www.coingecko.com/en/coins/dusk-network,dusk-network
90,https://coinmarketcap.com/currencies/theta-fuel,theta-fuel
91,https://www.coingecko.com/en/coins/first-blood,first-blood
92,https://coinmarketcap.com/currencies/tomochain,tomochain
93,https://www.coingecko.com/en/coins/compound-basic-attention-token,compound-basic-attention-token
94,https://coinmarketcap.com/currencies/ankr,ankr
95,https://www.coingecko.com/en/coins/insolar,insolar
96,https://coinmarketcap.com/currencies/hypercash,hypercash
97,https://www.coingecko.com/en/coins/lbry-credits,lbry-credits
98,https://coinmarketcap.com/currencies/crypto-com,crypto-com
99,https://www.coingecko.com/en/coins/aavegotchi,aavegotchi
100,https://coinmarketcap.com/currencies/hyperion,hyperion
101,https://www.coingecko.com/en/coins/digixdao,digixdao
102,https://coinmarketcap.com/currencies/unibright,unibright
103,https://www.coingecko.com/en/coins/salt,salt
104,https://coinmarketcap.com/currencies/maidsafecoin,maidsafecoin
105,https://www.coingecko.com/en/coins/factom,factom
106,https://coinmarketcap.com/currencies/kleros,kleros
107,https://www.coingecko.com/en/coins/bounce-token,bounce-token
108,https://coinmarketcap.com/currencies/wanchain,wanchain
109,https://www.coingecko.com/en/coins/nexus,nexus
110,https://coinmarketcap.com/currencies/mxc,mxc
111,https://www.coingecko.com/en/coins/monolith,monolith
112,https://coinmarketcap.com/currencies/zcoin,zcoin
113,https://www.coingecko.com/en/coins/kadena,kadena
114,https://coinmarketcap.com/currencies/sharetoken,sharetoken
115,https://www.coingecko.com/en/coins/proximax,proximax
116,https://coinmarketcap.com/currencies/gatetoken,gatetoken
117,https://www.coingecko.com/en/coins/suku,suku
118,https://coinmarketcap.com/currencies/hxro,hxro
119,https://www.coingecko.com/en/coins/0chain,0chain
120,https://coinmarketcap.com/currencies/stratis,stratis
121,https://www.coingecko.com/en/coins/cocos-bcx,cocos-bcx
122,https://coinmarketcap.com/currencies/handshake,handshake
123,https://www.coingecko.com/en/coins/einsteinium,einsteinium
124,https://coinmarketcap.com/currencies/curve-dao-token,curve-dao-token
125,https://www.coingecko.com/en/coins/mantra-dao,mantra-dao
126,https://coinmarketcap.com/currencies/waykichain,waykichain
127,https://www.coingecko.com/en/coins/quantum-resistant-ledger,quantum-resistant-ledger
128,https://coinmarketcap.com/currencies/pundi-x,pundi-x
129,https://www.coingecko.com/en/coins/skycoin,skycoin
130,https://coinmarketcap.com/currencies/stasis-euro,stasis-euro
131,https://www.coingecko.com/en/coins/instar,instar
132,https://coinmarketcap.com/currencies/xdai,xdai
133,https://www.coingecko.com/en/coins/meta,meta
134,https://coinmarketcap.com/currencies/aurora,aurora
135,https://www.coingecko.com/en/coins/based-money,based-money
136,https://coinmarketcap.com/currencies/fetch,fetch
137,https://www.coingecko.com/en/coins/seth,seth
138,https://coinmarketcap.com/currencies/v-systems,v-systems
139,https://www.coingecko.com/en/coins/alchemy-pay,alchemy-pay
140,https://coinmarketcap.com/currencies/ark,ark
141,https://www.coingecko.com/en/coins/waltonchain,waltonchain
142,https://coinmarketcap.com/currencies/aeternity,aeternity
143,https://www.coingecko.com/en/coins/vite,vite
144,https://coinmarketcap.com/currencies/origintrail,origintrail
145,https://www.coingecko.com/en/coins/nxt,nxt
146,https://coinmarketcap.com/currencies/solve,solve
147,https://www.coingecko.com/en/coins/wings,wings
148,https://coinmarketcap.com/currencies/aion,aion
149,https://www.coingecko.com/en/coins/te-food,te-food
150,https://coinmarketcap.com/currencies/dia,dia
151,https://www.coingecko.com/en/coins/pac-global,pac-global
152,https://coinmarketcap.com/currencies/power-ledger,power-ledger
