,Change,Circulating Supply,Market Cap,Price,Volume(24h),name
0,-3.68%,"18,025,570 XMC *","$8,200,973",$0.454963,"$4,294",Monero Classic
1,-6.53%,"1,012,265 SLS *","$8,158,944",$8.06,"$13,606",SaluS
2,-4.33%,"961,999,998 ACT *","$8,135,551",$0.008457,"$819,585",Achain
3,-1.57%,"373,789,868 RHOC *","$8,103,507",$0.021679,"$1,237",RChain
4,-1.02%,"3,601,858,620 DAC *","$8,042,387",$0.002233,"$1,628,545",Davinci Coin
5,9.37%,"1,840,796,585 PEG *","$8,014,383",$0.004354,"$73,141",PegNet
6,-1.38%,"259,348,201 PLR *","$7,996,752",$0.030834,"$8,817",Pillar
7,-1.24%,"14,952,163 LOC *","$7,928,339",$0.530247,"$11,815",LockTrip
8,-5.84%,"1,499,865,882 SOC *","$7,908,817",$0.005273,"$297,810",All Sports
9,21.84%,"4,957,480,037 XDCE *","$7,886,582",$0.001591,"$1,053,092",XinFin Network
10,-0.69%,"155,000,000 PRE *","$7,867,854",$0.050760,"$158,954",Presearch
11,-0.77%,762 WBTC *,"$7,860,314","$10,319.21","$868,721",Wrapped Bitcoin
12,-44.44%,"7,527,344,738 IQ *","$7,771,309",$0.001032,"$598,172",Everipedia
13,-0.94%,"2,286,196,413 FNB *","$7,750,692",$0.003390,"$2,417,833",FNB Protocol
14,-1.51%,"200,000,000 TEN *","$7,738,795",$0.038694,"$37,239",Tokenomy
15,8.18%,"9,546,170 POLIS","$7,721,536",$0.808862,"$16,090",Polis
16,-1.57%,"32,694,387 TKN *","$7,714,853",$0.235969,"$31,520",Monolith
17,-4.44%,"10,783,834,956 HYDRO *","$7,705,728",$0.000715,"$1,946,014",Hydro
18,-1.36%,"10,245,742 RPL *","$7,628,876",$0.744590,"$1,385",Rocket Pool
19,4.68%,"450,000,000 UTK *","$7,621,900",$0.016938,"$1,060,906",Utrust
20,5.89%,"7,277,193 SBD *","$7,564,524",$1.04,"$1,234,640",Steem Dollars
21,1.06%,"1,250,000 MLN *","$7,540,637",$6.03,"$46,452",Melon
22,-0.21%,"85,558,371 1ST *","$7,512,331",$0.087804,"$35,726",FirstBlood
23,-12.87%,"481,480,418 IDEX *","$7,488,864",$0.015554,"$9,774",IDEX
24,-3.75%,"21,315,864 OTO","$7,483,118",$0.351059,"$1,446",OTOCASH
25,-6.06%,"150,009,999 SLV *","$7,302,704",$0.048681,"$113,207",Silverway
26,-4.86%,"91,061,135 HXRO *","$7,258,644",$0.079712,"$164,191",Hxro
27,-7.62%,"46,016,434 INCNT *","$7,214,489",$0.156781,"$39,911",Incent
28,23.55%,"53,067,332,240 HTML","$7,177,244",$0.000135,"$58,077",HTMLCOIN
29,57.77%,"12,844,821,266 XYO *","$7,163,079",$0.000558,"$78,254",XYO
