,Change,Circulating Supply,Market Cap,Price,Volume(24h),name
0,-11.76%,"2,684,154,113 BQQQ *","$1,208,875",$0.000450,"$9,622",Bitsdaq
1,-5.00%,"704,821,305 HOLD *","$1,203,298",$0.001707,$312,HOLD
2,-1.81%,"109,375,280 MPAY *","$1,197,470",$0.010948,"$441,780",MenaPay
3,-22.84%,"1,499,999,978 SDA *","$1,196,662",$0.000798,"$2,596",SDChain
4,-55.38%,"9,504,980 TDX *","$1,191,754",$0.125382,"$1,833",Tidex Token
5,1.43%,"30,685,423 XPM","$1,189,337",$0.038759,"$8,999",Primecoin
6,-1.08%,"4,995,565 STA *","$1,180,229",$0.236255,$?,Starta
7,25.45%,"203,242,350 XES *","$1,178,229",$0.005797,$430,Proxeus
8,-5.61%,"182,316,075 MUE","$1,174,560",$0.006442,"$1,695",MonetaryUnit
9,-4.60%,"397,951,068 GRC","$1,172,011",$0.002945,$774,GridCoin
10,1.79%,"91,676,277 XEL *","$1,171,862",$0.012783,"$12,610",XEL
11,34.73%,"43,879,415 OVC *","$1,166,863",$0.026592,"$1,170",OVCODE
12,0.00%,"197,175,803 COS *","$1,164,194",$0.005904,$?,COS
13,-3.29%,"3,269,469,936 TEMCO *","$1,160,757",$0.000355,"$99,576",TEMCO
14,-7.30%,"5,100,896 SLT *","$1,160,359",$0.227481,$?,Smartlands
15,-1.33%,"118,998,493 FRM *","$1,159,862",$0.009747,"$322,341",Ferrum Network
16,0.00%,"39,393,848 ALIS *","$1,159,618",$0.029437,$?,ALIS
17,-0.33%,"88,674,658 FTN *","$1,157,132",$0.013049,"$113,329",Fountain
18,6.79%,"59,415,498 HX *","$1,154,141",$0.019425,"$4,674",HyperExchange
19,-3.39%,"18,418,931 BCA","$1,150,841",$0.062481,$426,Bitcoin Atom
20,-2.66%,"214,048,583 ISR *","$1,149,773",$0.005372,"$880,418",Insureum
21,-3.99%,"1,368,463,284 BTZC *","$1,147,510",$0.000839,$21,BeatzCoin
22,-1.20%,"17,115,975 EFL","$1,146,443",$0.066981,$19,e-Gulden
23,-1.48%,"102,500,000 NOS *","$1,143,150",$0.011153,"$65,875",nOS
24,9.55%,"8,700,200,594,990 FREE *","$1,141,955",$1.31e-7,"$3,604",FREE Coin
25,-2.93%,"61,927,668 NBC *","$1,138,361",$0.018382,"$1,268",Niobium Coin
26,-0.49%,"9,430,337,527 IMT *","$1,138,285",$0.000121,"$82,010",Moneytoken
27,39.78%,"159,732,931 WET *","$1,130,434",$0.007077,"$4,130,980",WeShow Token
28,-1.44%,"3,698,901 STS *","$1,128,109",$0.304985,"$4,784",SBank
29,-2.50%,"3,062,693,499 VIT *","$1,123,936",$0.000367,$?,Vision Industry Token
30,-2.29%,"352,750,000 MAS *","$1,115,982",$0.003164,"$53,473",MidasProtocol
31,-21.04%,"252,376,419 ABL *","$1,112,105",$0.004407,"$6,842,190",Airbloc
32,-3.30%,"92,147,500 TRST *","$1,109,960",$0.012045,$473,WeTrust
33,-13.67%,"30,364,150 PASC","$1,108,645",$0.036512,"$19,600",Pascal
34,7.89%,"60,000,000 NBOT *","$1,107,993",$0.018467,"$38,963",Naka Bodhi Token
35,2.32%,"4,501,541 PPY *","$1,106,602",$0.245827,"$215,076",Peerplays
