name,price,mktcap,href
sunny-aggregator,0.026434919966,"6,736,890",https://www.coingecko.com/en/coins/sunny-aggregator
bitcny,0.163026,"6,723,802",https://www.coingecko.com/en/coins/bitcny
compound-augur,0.471527,"6,719,168",https://www.coingecko.com/en/coins/compound-augur
spheroid-universe,0.057465659405,"6,717,497",https://www.coingecko.com/en/coins/spheroid-universe
qorpo,1.83,"6,651,881",https://www.coingecko.com/en/coins/qorpo
aurora,0.001468706541,"6,633,220",https://www.coingecko.com/en/coins/aurora
public-mint,0.287992,"6,605,817",https://www.coingecko.com/en/coins/public-mint
abyss,0.028837579485,"6,595,411",https://www.coingecko.com/en/coins/abyss
reapchain,0.102827,"6,564,151",https://www.coingecko.com/en/coins/reapchain
dappnode,1.30,"6,536,433",https://www.coingecko.com/en/coins/dappnode
lgo-token,0.040639853381,"6,531,740",https://www.coingecko.com/en/coins/lgo-token
lith-token,0.001204068246,"6,523,366",https://www.coingecko.com/en/coins/lith-token
yuki-coin,0.000481689515,"6,502,808",https://www.coingecko.com/en/coins/yuki-coin
moonedge,0.133647,"6,473,259",https://www.coingecko.com/en/coins/moonedge
genesis-pool,0.018583077162,"6,455,848",https://www.coingecko.com/en/coins/genesis-pool
gspi,6.47,"6,438,581",https://www.coingecko.com/en/coins/gspi
oin-finance,0.355841,"6,405,589",https://www.coingecko.com/en/coins/oin-finance
vabble,0.040924732325,"6,383,590",https://www.coingecko.com/en/coins/vabble
roobee,0.005290520999,"6,383,452",https://www.coingecko.com/en/coins/roobee
anrkey-x,0.060934049768,"6,375,505",https://www.coingecko.com/en/coins/anrkey-x
bird-money,72.99,"6,363,279",https://www.coingecko.com/en/coins/bird-money
aventus,0.762081,"6,330,830",https://www.coingecko.com/en/coins/aventus
snowswap,18.04,"6,306,091",https://www.coingecko.com/en/coins/snowswap
umi-digital,0.000189652108,"6,259,150",https://www.coingecko.com/en/coins/umi-digital
medishares,0.005495008830,"6,258,225",https://www.coingecko.com/en/coins/medishares
airbloc,0.022417618880,"6,258,078",https://www.coingecko.com/en/coins/airbloc
hedget,3.57,"6,238,745",https://www.coingecko.com/en/coins/hedget
eddaswap,603.17,"2,442,824",https://www.coingecko.com/en/coins/eddaswap
battle-pets,0.131258,"2,442,352",https://www.coingecko.com/en/coins/battle-pets
octofi,6.92,"2,440,702",https://www.coingecko.com/en/coins/octofi
somee-social-old,0.026517506707,"2,434,197",https://www.coingecko.com/en/coins/somee-social-old
litex,0.001776380999,"2,420,337",https://www.coingecko.com/en/coins/litex
the-husl,4.29,"2,401,281",https://www.coingecko.com/en/coins/the-husl
ultrain,0.008506555136,"2,399,920",https://www.coingecko.com/en/coins/ultrain
auric-network,0.031134222891,"2,384,485",https://www.coingecko.com/en/coins/auric-network
aga-rewards,148.52,"2,366,969",https://www.coingecko.com/en/coins/aga-rewards
doki-doki,47.25,"2,358,054",https://www.coingecko.com/en/coins/doki-doki
shardus,0.076103716791,"2,350,652",https://www.coingecko.com/en/coins/shardus
polyient-games-governance-token,135.31,"2,347,704",https://www.coingecko.com/en/coins/polyient-games-governance-token
zero,0.220858,"2,347,508",https://www.coingecko.com/en/coins/zero
axia,3.72,"2,347,261",https://www.coingecko.com/en/coins/axia
libratoken,0.003463795650,"2,342,467",https://www.coingecko.com/en/coins/libratoken
