name,max_supply,href
koho-chain,42000000.0,https://www.coingecko.com/en/coins/koho-chain/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
eden,250000000.0,https://www.coingecko.com/en/coins/eden/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
synthetify-token,100000000.0,https://www.coingecko.com/en/coins/synthetify-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
babb,NIF,https://www.coingecko.com/en/coins/babb/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
decred,NIF,https://www.coingecko.com/en/coins/decred/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
satt,NIF,https://www.coingecko.com/en/coins/satt/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
revomon,NIF,https://www.coingecko.com/en/coins/revomon/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
defipie,220000000.0,https://www.coingecko.com/en/coins/defipie/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
yffc-finance,NIF,https://www.coingecko.com/en/coins/yffc-finance/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
kuswap,NIF,https://www.coingecko.com/en/coins/kuswap/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
premia,100000000.0,https://www.coingecko.com/en/coins/premia/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
loopring,1374513896.0,https://www.coingecko.com/en/coins/loopring/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
skrumble-network,NIF,https://www.coingecko.com/en/coins/skrumble-network/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
sbnb,NIF,https://www.coingecko.com/en/coins/sbnb/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
unique-one,NIF,https://www.coingecko.com/en/coins/unique-one/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
yield-protocol,NIF,https://www.coingecko.com/en/coins/yield-protocol/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
scifi-index,NIF,https://www.coingecko.com/en/coins/scifi-index/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
nftb,997200000.0,https://www.coingecko.com/en/coins/nftb/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
base-protocol,368344.0,https://www.coingecko.com/en/coins/base-protocol/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
stakehound-staked-ether,NIF,https://www.coingecko.com/en/coins/stakehound-staked-ether/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
cube,NIF,https://www.coingecko.com/en/coins/cube/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
fire-lotto,NIF,https://www.coingecko.com/en/coins/fire-lotto/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
blocknet,NIF,https://www.coingecko.com/en/coins/blocknet/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
beach-token,NIF,https://www.coingecko.com/en/coins/beach-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
bitcashpay-old,850000000.0,https://www.coingecko.com/en/coins/bitcashpay-old/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
oblichain,380000000.0,https://www.coingecko.com/en/coins/oblichain/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
ormeus-ecosystem,NIF,https://www.coingecko.com/en/coins/ormeus-ecosystem/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
zebi,NIF,https://www.coingecko.com/en/coins/zebi/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
bitmoney,NIF,https://www.coingecko.com/en/coins/bitmoney/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
freq-set-dollar,222193.0,https://www.coingecko.com/en/coins/freq-set-dollar/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
srnartgallery-tokenized-arts,NIF,https://www.coingecko.com/en/coins/srnartgallery-tokenized-arts/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
maple,10000000.0,https://www.coingecko.com/en/coins/maple/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
biopset,NIF,https://www.coingecko.com/en/coins/biopset/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
earthcoin,NIF,https://www.coingecko.com/en/coins/earthcoin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
happycoin,NIF,https://www.coingecko.com/en/coins/happycoin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
tomochain,NIF,https://www.coingecko.com/en/coins/tomochain/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
bondappetit-gov-token,NIF,https://www.coingecko.com/en/coins/bondappetit-gov-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
unilend-finance,NIF,https://www.coingecko.com/en/coins/unilend-finance/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
gamee,NIF,https://www.coingecko.com/en/coins/gamee/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
coinsbit-token,NIF,https://www.coingecko.com/en/coins/coinsbit-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
peanut,NIF,https://www.coingecko.com/en/coins/peanut/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
pika,NIF,https://www.coingecko.com/en/coins/pika/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
shrew,NIF,https://www.coingecko.com/en/coins/shrew/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
prcy-coin,NIF,https://www.coingecko.com/en/coins/prcy-coin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
sinovate,NIF,https://www.coingecko.com/en/coins/sinovate/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
unicly-cryptopunks-collection,250000000.0,https://www.coingecko.com/en/coins/unicly-cryptopunks-collection/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
medibloc,NIF,https://www.coingecko.com/en/coins/medibloc/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
okcash,NIF,https://www.coingecko.com/en/coins/okcash/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
solfarm,10000000.0,https://www.coingecko.com/en/coins/solfarm/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
freeway-token,NIF,https://www.coingecko.com/en/coins/freeway-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
next-coin,NIF,https://www.coingecko.com/en/coins/next-coin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
paypie,NIF,https://www.coingecko.com/en/coins/paypie/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
connectjob,NIF,https://www.coingecko.com/en/coins/connectjob/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
essentia,NIF,https://www.coingecko.com/en/coins/essentia/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
