y1,y2,y3,x1,x2,x3,x4,x5,x6
3.6191611,1,1,-.44087866,-.29397041,.51282394,.92839181,-.012101184,0
1.4617764,0,0,.94440484,-1.2621088,.70575088,.036651842,-.17901061,0
5.4145689,1,2,1.1120147,.15891573,.30412415,.14452858,.80945003,0
2.9899879,0,1,-1.6368048,-.099500053,.11828078,.7132057,.56673068,0
1.105139,0,0,-2.0220993,-.66121763,.81351644,.39397112,.31190062,0
6.7853527,1,3,-1.0566254,.35880432,.33281541,.83308184,-.15853807,1
7.0624161,0,3,-.36178324,-.33181006,.52466726,.22120066,.49277622,1
4.4184985,0,2,-1.638646,-.1485361,.12218193,.43808386,-.64966327,1
.26297271,0,0,.13216716,-2.0256021,.1672968,.91842335,.74937844,0
6.4843259,0,3,.52693272,-.1386766,.83892381,.52051014,1.5379363,0
5.1320162,1,2,.41318005,.98633647,.32675231,.65958625,-1.6261399,0
2.416491,0,1,-.21721031,-.36521509,.98472059,.83076531,-.86203575,0
10.529936,1,4,-1.940526,1.264145,.79860038,.31915742,1.6567551,1
7.0712166,1,3,.15954295,.081307061,.93623388,.96304506,.76849049,1
10.446613,1,4,-.43519717,1.6759808,.69181985,.6828329,-.94423527,0
7.8167028,1,3,-.48240036,.34135088,.30540872,.40924117,-.10597984,1
-3.2763081,0,0,-.68525964,-1.5199057,.90724552,.81027138,-1.913868,0
5.4690995,1,2,.31192818,.73643655,.32542354,.46971864,-.33816114,0
11.438533,1,4,-.65124685,.90986192,.38017103,.26182154,1.2016041,1
6.4426699,1,3,.52452135,-.84156668,.39002159,.84322089,.68671834,1
6.8134885,1,3,.94459796,.33543184,.6609329,.96712434,1.2693654,0
4.1956749,0,2,1.452669,-1.6432016,.88604993,.18155339,.17901979,1
9.921299,1,4,-.78037667,.28947392,.33638385,.7515015,1.4724159,1
9.0470238,1,4,.87129021,1.2855067,.81725878,.45414779,.33245963,0
.27197313,0,0,-2.8850892,-.26762339,.31953958,.938196,-.70368403,0
5.7938361,0,2,-1.6554941,-.26965171,.27540469,.25577539,.20450723,1
6.7672076,1,3,-.19081682,1.0012231,.11304486,.8053627,.51994652,0
1.3889794,0,0,.42083821,-.51311058,.20642659,.51845008,.20436142,0
3.7235796,0,1,1.6059103,-.021273863,.42479378,.70315081,-1.9101169,0
7.9707627,1,3,-1.1414534,2.4259226,.089782879,.60981458,-.6306591,0
