date,mktcap,vol,open_price,close_price
2021-10-02,29039,0.116453,0.00011217,0.00009631
2021-10-01,29320,0.119593,0.00011051,0.00011217
2021-09-30,35267,21.68,0.00013328,0.00011051
2021-09-29,28159,237.21,0.00011228,0.00013328
2021-09-28,29220,0.01427697,0.00011074,0.00011228
2021-09-27,32360,86.66,0.00012952,0.00011074
2021-09-26,29834,0.01127808,0.00011278,0.00012952
2021-09-25,30220,0.105334,0.00011396,0.00011278
2021-09-24,33373,17.39,0.00011120,0.00011396
2021-09-23,33373,17.39,0.00011120,0.00011120
2021-09-22,28965,0.01825121,0.00010347,0.00011120
2021-09-21,30270,3.29,0.00011434,0.00010347
2021-09-20,28712,0.01209849,0.00010764,0.00011434
2021-09-19,29085,0.137212,0.00011002,0.00010764
2021-09-18,28002,1.37,0.00010726,0.00011002
2021-09-17,32714,0.062072,0.00012414,0.00010726
2021-09-16,27555,7.20,0.00012449,0.00012414
2021-09-15,124573,9.41,0.00047055,0.00012449
2021-09-14,28337,0.082480,0.00010670,0.00047055
2021-09-13,28951,0.084950,0.00010990,0.00010670
2021-09-12,28951,0.084950,0.00010990,0.00010990
2021-09-07,30514,4.09,0.00011646,0.00010990
2021-09-06,30514,4.09,0.00011646,0.00011646
2021-09-04,32180,0.02146165,0.00012239,0.00011646
2021-09-03,32656,0.02152684,0.00012276,0.00012239
2021-09-02,32637,1.23,0.00012330,0.00012276
2021-09-01,32476,14.18,0.00012267,0.00012330
2021-08-31,31671,133.70,0.00011813,0.00012267
2021-08-30,31671,133.70,0.00011813,0.00011813
2021-08-27,27843,0.373505,0.00010571,0.00011813
2021-08-26,26371,0.526434,0.00009952,0.00010571
2021-08-25,26433,0.527969,0.00009981,0.00009952
2021-08-24,26383,10.12,0.00010000,0.00009981
2021-08-23,21018,0.00841529,0.00007939,0.00010000
2021-08-22,24228,0.00134668,0.00009157,0.00007939
2021-08-21,24228,0.00134668,0.00009157,0.00009157
2021-08-20,24618,0.087598,0.00009382,0.00009157
2021-08-19,24943,0.088851,0.00009385,0.00009382
2021-08-18,24943,0.088851,0.00009385,0.00009385
2021-08-16,25933,0.480727,0.00009787,0.00009385
2021-08-15,28047,6.11,0.00010584,0.00009787
2021-08-14,26217,3.53,0.00010102,0.00010584
2021-08-13,23756,0.01749397,0.00008978,0.00010102
2021-08-12,24690,2.17,0.00009334,0.00008978
2021-08-11,24690,2.17,0.00009334,0.00009334
2021-08-10,24013,2.74,0.00009285,0.00009334
2021-08-09,24365,1.11,0.00009070,0.00009285
2021-08-08,23627,76.70,0.00009134,0.00009070
2021-08-07,23627,76.70,0.00009134,0.00009134
2021-08-02,19544.47,0.111115,0.00007329,0.00009134
