,name,price,ship cost
0,Dell-Latitude-Gaming-Business-Laptop-15-6-inch-HD-Intel-Core-i5-2TB-SSD-16GB-RAM,$264.00,Free Shipping
1,HP-15-bs234wm-15-6-Laptop-Intel-Pentium-N5000-1-1GHz-4GB-RAM-500GB-HDD-Windows,$233.00,Free Shipping
2,Dell-Latitude-3340-Laptop-i3-1-7GHz-4GB-250GB-Webcam-HDMI-Complete,$124.00,Free Shipping
3,HP-ELITEBOOK-725-G2-8GB-RAM-256GB-SOLID-STATE-DRIVE-WINDOWS-10-LAPTOP-NOTEBOOK,$115.00,Free Shipping
4,HP-17-b028-17-3-WLED-Touchscreen-Laptop-Intel-Pentium-8GB-1TB-HDD-w-Office-365,$399.99,Free Shipping
5,Apple-Macbook-Air-13-3-Touch-ID-Intel-i5-8GB-128GB-2019-MVFH2LL-A-Space-Gray,$849.99,Free Shipping
6,Acer-Travelmate-B113-11-6-Laptop-Intel-Celeron-1-6GHz-4GB-RAM-320GB-Win-10-RR,$40.00,+$15.00 shipping
7,New-Dell-Latitude-5289-12-5-Laptop-2-in-1-i3-7100U-4GB-128GB-SSD-Win-10-PRO,$334.99,Free Shipping
8,MSI-GL63-8RD-Gaming-Laptop-i7-8750H-CPU-16GB-RAM-512GB-SSD-GTX-1050-Ti-WIN-10,$799.99,Free Shipping
9,Lenovo-ThinkPad-X1-Yoga-2nd-Gen-i7-7600U-16GB-Ram-512GB-SSD-OLED-WQHD,$799.99,Free Shipping
10,HP-EliteBook-8470P-Laptop-i5-3320M-4GB-RAM-320GB-HD-DVD-RW-WEBCAM-WIN-10-PRO,$129.99,Free Shipping
11,Microsoft-V4C-00022-Surface-Laptop-3-13-5-Touch-Intel-i5-1035G7-8GB-256GB-Black,$999.00,Free Shipping
12,DELL-Latitude-E7440-i7-4600u-2-1GHz-4G-128SSD-Includes-AC-Adapter,$160.00,+$21.01 shipping
13,HP-17z-17-Silver-Laptop-PC-17-3-3-1Ghz-12GB-1TB-AC-WiFi-DVD-RW-HDMI-USB-3-1,$379.43,Free Shipping
14,HP-ProBook-4540s-15-6-Laptop-Computer-PC-Core-i5-8GB-256GB-SSD-Wifi-Windows-10,$199.95,Free Shipping
15,Samsung-Chromebook-12-1-Refurbished-Laptop-Intel-Atom-Chrome-OS-WiFi-Webcam-HD,$84.99,Free Shipping
16,SEALED-Acer-Chromebook-14-Atom-x5-E8000-4GB-RAM-32GB-eMMC-CB3-431-12K1,$149.99,Free Shipping
17,Microsoft-Surface-Book-13-5-inch-core-i5-6300U-2-4GHz-8-GB-256GB-SSD-Win-10,$429.00,Free Shipping
