,name,price,ship cost
0,Dell-Latitude-E6320-Laptop-160GB-Windows-10-4GB-i5-2-5GHZ-13-TESTED,$144.95,Free Shipping
1,DELL-LAPTOP-LATITUDE-E5420-2-5ghz-8GB-320GB-HD-14-DVD-WINDOWS-10-WiFi-HDMI-PC,$189.95,Free Shipping
2,DELL-Latitude-E5470-Laptop-iSeries-i5-6300U-2-4GHz-8GB-128GB-SDD-14-NO-OS,$170.00,Free Shipping
3,Dell-Latitude-3340-Laptop-i3-1-7GHz-4GB-250GB-Webcam-HDMI-Complete,$124.00,Free Shipping
4,Lenovo-X201-Laptop-i5-2-53GHZ-4GB-Webcam-Battery-AC-adapter-Windows,$69.99,Free Shipping
5,Acer-Nitro-5-15-6-Gaming-Laptop-AMD-Ryzen-5-2500U-2GHz-8GB-Ram-1TB-HDD-W10H,$529.99,Free Shipping
6,Dell-Latitude-5289-12-5-2-in-1-i7-7600U-2-8GHz-16GB-RAM-256GB-SSD,$449.00,Free Shipping
7,ASUS-L402WA-EH21-Thin-and-Light-14-HD-Laptop-AMD-E2-6110-4GB-64GB-eMMC-Win-10,$149.99,Free Shipping
8,Dell-Latitude-E6410-Laptop-i5-2-4-4GB-320Gb-DVD-WIFI-win-10-new-battery,$121.99,Free Shipping
9,Dell-Latitude-E6330-Laptop-13-3-i5-3340M-8GB-RAM-No-HDD-No-OS-No-Battery,$59.99,Free Shipping
10,Open-Box-HP-Pavilion-Laptop-AMD-Ryzen-5-2500U-16GB-DDR4-128GB-SSD-1TB-HDD-CS0891,$135.50,+$14.99 shipping
11,Dell-Latitude-Laptop-Windows-7-8GB-FAST-256GB-SSD-FREE-3-YEAR-WARRANTY,$279.00,Free Shipping
12,LG-Gram-Laptop-17Z990-R-AAS7U1-17-LCD-Intel-Core-i7-16GB-RAM-256GB-SSD-notebook,$959.00,Free Shipping
13,Lenovo-ThinkPad-T490-20N2-14-i5-8265U-8GB-256GB-SSD-Win-10-Pro,$650.00,Free Shipping
14,IBM-LENOVO-LAPTOP-THINKPAD-T400-WINDOWS-10-WIN-DVDRW-WiFi-CORE-2-DUO-2-26GHz-PC,$143.00,Free Shipping
15,DELL-LATITUDE-E6430-LAPTOP-WINDOWS-10-WIN-DVD-INTEL-i5-2-5GHz-8GB-320GB-HD-HDMI,$212.00,Free Shipping
16,HP-ProBook-4530s-Intel-Core-i3-2-10GHz-2GB-RAM-320GB-HDD-15-6-Win7-Laptop,$24.99,Free Shipping
17,HP-Pavilion-15-15-6-Laptop-AMD-E2-7110M-1-8GHz-8GB-RAM-128GB-SSD-Windows-10,$119.99,+$15.00 shipping
18,DELL-Inspiron-5568-360-Laptop-Touch-15-6-4x-i3-6100U-2-3GHz-4GB-500GB-W10Home,$9.99,+$19.99 shipping
19,858-Dell-Latitude-E7250-i7-16GB-256GB-SSD-Laptop-Computer-Windows-10-Blue,$350.00,Free Shipping
20,Dell-Latitude-E5470-Core-i5-6440HQ-CPU-2-60GHz-256GB-SSD-8GB-RAM-Win-10-Pro,$199.99,Free Shipping
21,HP-Envy-TouchSmart-17-J1t-17-3in-Laptop,$109.00,+$27.45 shipping
22,Dell-Latitude-D620-Laptop-Core-Duo-2GB-Ram-80GB-HDD-WiFi-Windows-XP-Pro,$85.99,Free Shipping
23,Dell-Chromebook-3120-11-6-Intel-Celeron-N2840-2-16GHz-4GB-16GB-SSD-Laptop,$52.99,Free Shipping
24,Lenovo-ThinkPad-T430-14-Intel-i5-8-GB-RAM-500-GB-HDD-Win-10-WiFi-B-Grade-Laptop,$129.99,Free Shipping
25,Dell-Precision-M4500-15-6-Laptop-Intel-Core-i5-M520-2-40GHz-4GB-RAM-320GB-HDD,$69.99,+$12.02 shipping
26,Dell-Latitude-3340-Intel-Core-i3-1-70GHz-4GB-RAM-500GB-HDD-13-3-Win7-Laptop,$34.00,Free Shipping
27,Lenovo-Thinkpad-Yoga-15-Intel-Core-i7-5500u-2-4GHZ-8gb-Touch-Laptop-20DQ001LUS,$69.99,+$13.45 shipping
28,Dell-Inspiron-17-7779-17-3-TOUCH-2-in-1-Core-i7-7500U-2-7GHz-8GB-RAM-LAPTOP,$108.49,+$13.45 shipping
29,Dell-Latitude-E6430-Laptop-i5-Dual-Core-Min-2-50GHz-No-RAM-No-HDD-No-OS-No-Bat,$59.99,Free Shipping
30,Dell-Inspiron-15-5575-15-6-1TB-8GB-AMD-Ryzen-3-2200u-2-50GHz-DVD-Windows-10,$299.95,Free Shipping
31,HP-ProBook-745-G2-AMD-A8-Pro-1-9GHZ-4GB-128GB-SSD-Windows-10,$114.99,Free Shipping
32,HP-Envy-Touchscreen-Laptop-Win-10-1TB-HDD-16GB-RAM-Intel-Core-i7-2-50GHz,$299.95,+$19.99 shipping
33,Lenovo-ThinkPad-X230-12-5-Notebook-Intel-Core-i5-3320M-4GB-128GB-SSD-Win-10,$129.99,Free Shipping
34,Open-Box-HP-Laptop-15-bs031wm-i3-7100U-2-4GHz-4GB-DDR4-1TB-HDD-Win10-J4542,$76.00,+$14.99 shipping
35,HP-Camo-Special-Edition-Laptop-15-6-AMD-RYZEN-3-40GHz-4GB-1TB-DVD-RW-WebCam-WiFi,$276.57,Free Shipping
36,Lenovo-T450s-14-1080p-Laptop-Intel-Core-i7-12GB-RAM-256GB-SSD-Win-10-Pro,$199.99,+$19.99 shipping
37,Dell-Inspiron-3482-14-Laptop-14-0-Intel-Pentium-Silver-N5000-4GB-RAM,$100.00,+$18.00 shipping
38,DELL-Latitude-Laptop-14-1-HD-Intel-Core-i5-4GB-RAM-500GB-HDD-Windows-10-DVD-RW,$188.99,Free Shipping
39,DELL-LAPTOP-LATITUDE-CORE-WINDOWS-10-32bit-WIN-DVD-WiFi-NOTEBOOK-PC-13-3-HD-3GB,$132.00,Free Shipping
40,HP-Gaming-Pavilion-Laptop-17-3-i7-9th-Gen-NVIDIA-1650-16-GB-RAM-512-GB-SSD,$849.99,Free Shipping
41,Dell-13-3-Latitude-E4310-Laptop-4GB-i5-2-53GHz-320GB-HDD-Wi-Fi-Windows-10-Pro,$49.99,+$10.00 shipping
