,name,price,ship cost
0,Dell-E6410-Laptop-i5-2-4GHZ-250GB-4GB-Win-10-Pro-COMPLETE,$99.99,Free Shipping
1,Dell-Latitude-Laptop-PC-14-1-Intel-i5-1TB-16GB-WiFI-HDMI-DVD-Windows-10-Pro,$159.95,Free Shipping
2,Dell-Latitude-Gaming-Laptop-15-6-inch-HD-Intel-Core-i5-16GB-RAM-1TB-SSD,$478.99,Free Shipping
3,Dell-D630-Laptop-1-66ghz-2gb-Windows-XP-WIFI-DVD-very-fast-RS232,$59.98,+$13.95 shipping
4,DELL-LAPTOP-LATITUDE-E6410-INTEL-i5-4GB-RAM-250GB-DVDRW-WiFi-WINDOWS-10-WIN-HD,$155.00,Free Shipping
5,HP-14-ax030wm-Stream-Laptop-14-HD-N3060-1-6GHz-4GB-RAM-32GB-eMMC-Win-10-Home,$112.00,Free Shipping
6,12GB-Powerful-HP-15-6-Intel-Core-i7-3-40GHz-256GB-SSD-Drive-WebCam-WIN10-Laptop,$567.66,Free Shipping
7,2020-Dell-15-6-TouchScreen-Laptop-i3-8145U-i5-7200U-3-9GHz-16GB-RAM-1TB-SSD,$379.00,Free Shipping
8,HP-ProBook-6460b-14-Notebook-Laptop-w-Intel-Core-i5-2-50GHz-8GB-RAM-320GB-HDD,$89.97,+$12.02 shipping
9,NEW-Samsung-Chromebook-3-11-6-HD-Intel-Atom-x5-E8000-4GB-RAM-16GB-eMMC-Webcam,$139.99,Free Shipping
10,Lenovo-ThinkPad-T440p-14in-500GB-Intel-Core-i5-4th-Gen-8GB-Notebook-Laptop,$97.00,Free Shipping
11,LENOVO-THINKPAD-TWIST-S230u-INTEL-CORE-i7-3517U-1-9GHz-8GB-RAM-12-5-LAPTOP-B3,$127.00,+$9.99 shipping
12,Acer-Aspire-5-Intel-i5-8265U-1-60GHz-8GB-Ram-256GB-SSD-Windows-10-Home,$169.99,Free Shipping
