,name,price,ship cost
0,Dell-Latitude-E7440-14-Laptop-Core-i5-8GB-256GB-SSD-Webcam-Wifi-Windows-10-Pro,$209.95,Free Shipping
1,Dell-Latitude-Laptop-Computer-Core-2-Duo-WIFI-Windows-10-Pro-14-DVD-CDRW-4GB,$123.00,Free Shipping
2,HP-13-an0031wm-Pavilion-13-3-FHD-i3-8145U-2-1GHz-8GB-RAM-128GB-SSD-Win-10-Home,$264.00,Free Shipping
3,Apple-MacBook-Air-13-3in-Laptop-Intel-Core-i5-HD-Graphics-128GB-SSD-WiFi-Webcam,$269.99,Free Shipping
4,DELL-LAPTOP-LATITUDE-E5420-2-5ghz-8GB-320GB-HD-14-DVD-WINDOWS-10-WiFi-HDMI-PC,$189.95,Free Shipping
5,Fujitsu-LifeBook-T730-Intel-Core-i3-M380-2-53GHz-4GB-160GB-Win7-Laptop,$44.00,Free Shipping
6,Dell-Inspiron-3542-4th-Gen-Intel-Core-i3-4030U-1-90GHz-8GB-RAM-1TB-HDD,$99.99,Free Shipping
7,Dell-Latitude-E5450-14-Laptop-i5-5300U-2-30GHz-8GB-RAM-No-HD-C021404,$125.00,Free Shipping
8,Brand-New-ASUS-14-HD-AMD-A6-4GB-500GB-Radeon-R4-Laptop-Notebook-Silver-Window10,$209.85,Free Shipping
9,15-6Inch-Intel-4G-Ram-64GB-SSD-Windows-10-FHD-Laptop-Quad-Core-Yepbook-Notebook,$196.99,Free Shipping
10,Nobilis-N4058-Laptop-Intel-Core-i5-4510M-2-60-GHz-4GB-RAM-320GB-HDD-Win-10-Pro,$92.95,Free Shipping
11,Dell-Latitude-E6320-Intel-i5-2540M-2-60GHz-4GB-13-3-Laptop-No-HDD-No-OS-8,$99.99,+$9.99 shipping
12,Good-Dell-Latitude-5490-14-i5-8350U-1-7GHz-16GB-RAM-256GB-SSD-CS0895,$90.00,+$14.99 shipping
13,DELL-LATITUDE-E7440-CORE-i7-4600U-2-1-2-7-GHZ-8-GB-RAM-120GB-SSD-WIFI-LAPTOP,$185.00,Free Shipping
14,Lenovo-81MV00FGUS-IdeaPad-S145-15-6-HD-4205U-1-8GHz-4GB-RAM-128GB-SSD-Win-10,$159.00,Free Shipping
15,Lenovo-81N800SKUS-IdeaPad-S340-15-6-HD-i3-8145U-2-1GHz-8GB-RAM-128GB-SSD-Win,$241.00,Free Shipping
16,HP-Stream-14-Laptop-NEW-In-Box,$68.00,Free Shipping
17,Sealed-HP-Chromebook-HP-11-6-Intel-Dual-Core-Celeron-N3060-1-6GHz-4GB-RAM-16-GB,$193.42,Free Shipping
18,Dell-Precision-M4500-15-6-Laptop-Intel-Core-i5-M520-2-40GHz-4GB-RAM-320GB-HDD,$124.99,+$12.02 shipping
19,Acer-Nitro-5-15-6-Gaming-Laptop-Intel-i5-9300H-2-4GHz-8GB-Ram-1TB-HDD-128GB-SSD,$69.99,Free Shipping
20,Dell-Latitude-E6420-Laptop-14-i5-2410M-4GB-RAM-500GB-HDD-No-OS-No-Battery,$599.99,Free Shipping
21,Microsoft-Surface-Book-2-13-5-Touch-2-in-1-Notebook-Computer-HMW-00001-Laptop,$59.99,+$25.00 shipping
22,Brand-New-HP-15-dy1971cl-15-6-Laptop-i7-1065G7-8GB-256GB-SSD-Win-10,$299.00,+$15.40 shipping
23,Lenovo-X201-Laptop-i5-2-53GHZ-4GB-Webcam-Battery-AC-adapter-Windows,$475.00,Free Shipping
24,HP-LAPTOP-ELITEBOOK-8460p-i5-2-5GHz-250GB-DVD-WINDOWS-10-PRO-WIN-32bit-WiFi-PC,$650.00,Free Shipping
25,Lenovo-ThinkPad-T440s-Intel-Core-i5-4300U-1-90GHz-4GB-RAM-500GB-HDD,$69.99,Free Shipping
26,HP-EliteBook-840-G1-Core-i5-1-90GHz-4GB-Ram-INCOMPLETE-LAPTOP,$182.00,+$27.00 shipping
27,Dell-Latitude-E6420-Laptop-14-i5-2520M-4GB-RAM-320GB-HDD-No-OS-No-Battery,$109.99,Free Shipping
28,HP-EliteBook-8570w-15-6-i7-3610QM-8GB-RAM-500GB-HDD-No-OS-No-Battery,$9.99,Free Shipping
29,Microsoft-Surface-Book-Laptop-i7-6600U-2-6GHz-16GB-RAM-512GB-Win-10-Office,$59.99,Free Shipping
30,Lenovo-ThinkPad-T430i-Laptop-14-1-i3-2328M-4GB-RAM-320GB-HDD-No-OS,$129.99,Free Shipping
31,New-HP-ProBook-450-G6-Business-Laptop-15-6-HD-i5-8265U-4GB-500GB-Win10Pro,$300.00,Free Shipping
32,UPGRADED-Apple-MacBook-Pro-13-2-4GHz-INTEL-8GB-RAM-1TB-3-YR-WARRANTY,$600.00,Free Shipping
33,Lenovo-ThinkPad-T440p-Intel-Core-i5-4200M-2-5GHz-8GB-RAM-128GB-SSD-No-BATT,$59.99,+$18.55 shipping
34,LENOVO-T440p-WINDOWS-10-6GB-RAM-Intel-i5-2-6GHz-500-HD-Office-Pro-Webcam,$529.00,Free Shipping
35,HP-17-3-Intel-Pentium-8GB-RAM-1TB-HDD-Touchscreen-Laptop-Bundle,$389.00,Free Shipping
36,2019-Newest-ASUS-14-Laptop-AMD-A6-Dual-Core-2-6GHz-up-to-12GB-RAM-1TB-SSD,$65.00,Free Shipping
37,Dell-Latitude-E5570-Laptop-2-4-GHz-i5-6300U-8GB-256GB-SSD-Webcam-15-6-FHD,$129.99,Free Shipping
