,name,price,ship cost
0,HP-LAPTOP-WINDOWS-10-PC-CORE-i5-2-5GHz-16GB-RAM-180GB-SSD-15-6-DVDRW-NOTEBOOK,$298.00,Free Shipping
1,HP-ProBook-640-G1-Laptop-i5-4300m-2-6GHZ-4GB-DDR3-Windows-10,$144.95,Free Shipping
2,Acer-TravelMate-P255-15-6-Laptop-Intel-Core-i5-4210U-1-70GHz-4GB-RAM-250GB-HDD,$79.99,+$12.02 shipping
3,852-Lenovo-ThinkPad-T440-i5-4GB-128GB-SSD-Laptop-Computer-Windows-10-Green,$165.00,Free Shipping
4,Dell-E6540-Laptop-PC-15-6-Core-i5-1TB-SSD-16GB-Webcam-WiFI-Windows-10-Pro,$289.95,Free Shipping
5,LENOVO-THINKPAD-T410-LAPTOP-WINDOWS-10-WIN-32bit-i5-2-4GHz-160GB-HD-DVD-WiFi-PC,$145.00,Free Shipping
6,Acer-Nitro-5-Gaming-Laptop-Intel-Core-i5-8300H-2-3GHz-8GB-Ram-1TB-HDD-Windows10H,$499.99,Free Shipping
7,15-6-Dell-Laptop-Computer-Intel-i5-16GB-RAM-512GB-SSD-USB-3-0-Full-HD-Notebook,$549.97,Free Shipping
8,Microsoft-Surface-Pro-4-Intel-Core-i5-4GB-RAM-128GB-SSD-Windows-10-Professional,$319.00,Free Shipping
9,Lenovo-81N800H3US-IdeaPad-S340-15-6-HD-i3-8145U-2-10GHz-8GB-RAM-128GB-SSD-Win,$220.00,Free Shipping
10,Dell-Inspiron-15-3558-laptop-15-6-Core-i3-5015U-6GB-1TB-HDD-WCam-Windows-10,$95.00,+$15.99 shipping
11,Dell-Precision-M6600-Laptop-Core-i7-2760QM-2-40GHz-8GB-RAM-120GB-SSD-Win-10,$139.99,+$15.99 shipping
12,HP-Laptop-14-HD-Disp-AMD-Dual-Core-32GB-HD-4GB-DDR4-Win10-14-CM0012NR-Very-Nice,$119.00,Free Shipping
13,Microsoft-Surface-Touchscreen-Laptop-Intel-i5-7th-Gen-8GB-RAM-256GB-SSD-Win-10,$549.00,Free Shipping
14,Lenovo-Laptop-ThinkPad-11e-11-6-128GB-M-2-SSD-4GB-RAM-Windows-10-Pro-AVA,$98.95,Free Shipping
15,DELL-LATITUDE-E6540-CORE-I5-4310-2-7GHz-4GB-LAPTOP,$89.99,+$8.61 shipping
16,HP-Pavilion-15-15-6-HD-Touchscreen-Laptop-Quad-Core-i5-8250U-8GB-256GB-SSD,$499.00,Free Shipping
17,HP-17-3-Laptop-Computer-Notebook-PC-8GB-1TB-3-70GHz-AMD-Turbo-Core-DVD-Writer,$349.97,Free Shipping
18,Dell-Precision-M6600-17-3-Laptop-Intel-i5-2540M-8GB-RAM-500GB-HDD-NVIDIA-GPU,$169.99,+$15.00 shipping
19,Dell-Chromebook-13-7310-Intel-Celeron-4GB-16GB-SSD-13-3-Laptop-Grade-A,$145.95,Free Shipping
20,Motile-M141-BK-14-FHD-Ryzen-3-3200U-2-6GHz-4GB-RAM-128GB-SSD-Win-10-Home-Black,$225.00,Free Shipping
21,Apple-MacBook-Air-13-3in-Laptop-Intel-Core-i5-HD-Graphics-128GB-SSD-WiFi-Webcam,$269.99,Free Shipping
22,HP-17z-17-Silver-Laptop-PC-17-3-3-1Ghz-12GB-1TB-AC-WiFi-DVD-RW-HDMI-USB-3-1,$379.43,Free Shipping
23,Dell-Latitude-Gaming-Business-Laptop-15-6-inch-HD-Intel-Core-i5-2TB-SSD-16GB-RAM,$264.00,Free Shipping
24,Google-Chromebook-Pixel-Laptop-i5-3427U-1-80GHz-4GB-RAM-32GB-SSD-Chrome-OS,$189.99,Free Shipping
25,HP-Pavilion-X360-14-Touchscreen-i3-8130U-8GB-500GB-HDD-W10-2-in-1-Laptop,$318.99,Free Shipping
26,LENOVO-THINKPAD-T430-LAPTOP-INTEL-i5-2-50GHz-8GB-160GB-SSD-DVDRW-WINDOWS-10-PRO,$203.00,Free Shipping
27,Lenovo-E531-15-6-Laptop-Intel-i5-3230M-2-60GHz-8GB-RAM-180GB-SSD-Windows-10,$169.99,+$15.00 shipping
28,Dell-Laptop-Computer-E5410-Intel-Core-i5-WIFI-Windows-7-Pro-250GB-Notebook-4GB,$125.00,Free Shipping
29,HP-17-3-TouchScreen-Laptop-12GB-Ram-AMD-DualCore-3-70GHz-1TB-HD-DVD-RW-WebCam,$454.44,Free Shipping
30,DELL-LAPTOP-LATITUDE-E6420-2-5ghz-8GB-320GB-14-DVD-WINDOWS-10-WIN-WiFi-HDMI-PC,$195.00,Free Shipping
31,Acer-TravelMate-11-6-Inch-TouchScreen-Laptop-4GB-RAM-500GB-HDD-Intel,$149.99,Free Shipping
32,HP-15-dw0037wm-Notebook-15-6-HD-i3-8145U-2-1GHz-8GB-RAM-1TB-HDD-Win-10-Home,$289.00,Free Shipping
33,HP-14-cb161wm-Stream-14-HD-Celeron-N4000-1-1GHz-4GB-RAM-32GB-eMMC-Win-10-Home,$149.00,Free Shipping
34,HP-LAPTOP-ELITEBOOK-8460p-i5-2-5GHz-4GB-DVDRW-WEBCAM-WINDOWS-10-WIN-WiFi-PC-HD,$184.00,Free Shipping
35,Dell-E5410-14-Core-i5-Laptop-Windows-10-2-4Ghz-4GB-RAM-320GB-HD-WiFi,$124.99,Free Shipping
36,Lenovo-ThinkPad-laptop-11e-11-6-Celeron-N2940-1-83GHz-4GB-500GB-Windows-10-PRO,$74.95,Free Shipping
37,HP-Stream-Laptop-11-HD-Display-Intel-N4000-32GB-HD-Win10-S-11-AH131NR-Very-Nice,$95.00,+$5.00 shipping
38,Lenovo-T440s-14-HD-Laptop-PC-Core-i5-8GB-256GB-SSD-Webcam-Wifi-Windows-10-Pro,$229.95,Free Shipping
39,HP-255-G7-15-6-in-128GB-SSD-AMD-E-Series-1-50-GHz-4GB-Laptop,$85.00,+$14.32 shipping
40,Acer-15-6-Chromebook-Intel-Celeron-1-6GHz-2GB-Ram-16GB-Flash-Chrome-OS,$119.99,Free Shipping
41,Lenovo-ThinkPad-Laptop-Computer-E430-Intel-i3-4GB-RAM-14-Linux-POOR-COSMETICS,$49.95,+$10.00 shipping
42,Samsung-Chromebook-12-1-Refurbished-Laptop-Intel-Atom-Chrome-OS-WiFi-Webcam-HD,$84.99,Free Shipping
43,DELL-LAPTOP-E6420-LATiTUDE-INTEL-i5-2-5GHz-WINDOWS-10-WiFi-320GB-HD-HDMI-DVD-PC,$178.00,Free Shipping
44,Lenovo-81MV00FGUS-IdeaPad-S145-15-6-HD-4205U-1-8GHz-4GB-RAM-128GB-SSD-Win-10,$159.00,Free Shipping
45,HP-15-6-Intel-Core-i7-8565U-16GB-RAM-1TB-4GB-NVIDIA-MX250-FHD-IPS-Touch,$589.00,+$19.99 shipping
46,HP-17-3-TOUCHSCREEN-Laptop-8GB-Ram-AMD-Ryzen-3-40GHz-1TB-HD-DVD-RW-WebCam-Pink,$419.94,Free Shipping
47,Lenovo-81N80092US-Ideapad-S340-15-6-HD-i3-8145U-2-10GHz-8GB-RAM-128GB-SSD-Win,$249.00,Free Shipping
