,name,price,ship cost
0,Dell-Laptop-Latitude-E7240-12-5-i5-4300u-1-9Ghz-8GB-256GB-SSD-Win-10-Pro-HDMI,$149.99,Free Shipping
1,DELL-LAPTOP-LATITUDE-E6410-INTEL-i5-4GB-RAM-250GB-DVDRW-WiFi-WINDOWS-10-WIN-HD,$155.00,Free Shipping
2,Bytespeed-X501H-14-Laptop-w-Intel-Core-i5-4200U-1-60GHz-4GB-RAM-320GB-HDD,$69.99,+$12.02 shipping
3,HP-ProBook-640-G1-Laptop-i5-4300m-2-6GHZ-4GB-DDR3-160GB-14-LED-Win-10,$99.99,Free Shipping
4,Dell-E6410-Laptop-i5-2-4GHZ-250GB-4GB-Win-10-Pro-COMPLETE,$99.99,Free Shipping
5,ASUS-X502C-15-6-Laptop-Intel-2117U-1-80GHz-4GB-RAM-500GB-HDD-Windows-10,$119.99,+$15.00 shipping
6,HP-14-Stream-Laptop-Intel-N3060-2-48GHz-32GB-SSD-4GB-RAM-BT-Windows-10-Grey,$164.99,Free Shipping
7,Dell-Latitude-E5440-i5-4310-2-0GHz-8-GB-256GB-SSD-Win10-Trim-Laptop,$199.00,Free Shipping
8,Lenovo-ThinkPad-T440p-Intel-Core-i5-4200M-2-5GHz-8GB-RAM-128GB-SSD-No-BATT,$65.00,+$18.55 shipping
9,Brand-New-HP-15-6-Touch-Screen-Laptop-Intel-N5000-4or8GB-RAM-1TB-or-2TB-Win-10,$344.99,Free Shipping
10,Asus-X751N-17-3-Laptop-Intel-Pentium-N4200-Quad-Core-8GB-1TB-Win10-DVD-Cam-BT,$189.95,Free Shipping
11,New-Dell-Inspiron-15-5575-15-6-Touch-I5575-A214SLV-PUS-Ryzen-5-8GB-1TB-Laptop,$424.98,Free Shipping
12,HP-LAPTOP-9470m-ELITEBOOK-FOLIO-WINDOWS-10-PRO-WIN-i5-WEBCAM-WiFi-8GB-128GB-SSD,$218.00,Free Shipping
13,Vintage-Dell-Latitude-C610-Windows-98-DOS-Gaming-CNC-Embroidery-Laptop-Pentium,$79.95,Free Shipping
14,LENOVO-LAPTOP-THINKPAD-CORE-i5-16GB-512GB-SSD-HD-WINDOWS-10-PRO-WiFi-NOTEBOOK-PC,$175.95,Free Shipping
15,Dell-Laptop-Computer-Intel-Core-i5-Windows-10-4GB-160GB-HD-DVD-Wifi,$134.95,Free Shipping
16,HP-6460b-Laptop-2-5ghz-i5-4GB-160GB-Windows-10-Battery-C-GRADE,$88.88,Free Shipping
17,Dell-E6400-Laptop-WINDOWS-7-80GB-HDD-4GB-Battery-AC-TESTED-WORKING,$79.95,Free Shipping
18,DELL-LAPTOP-LATiTUDE-WINDOWS-10-CORE-2-DUO-8GB-RAM-500GB-DVD-WIFI-PC-HD-COMPUTER,$139.00,Free Shipping
19,HP-Elite-x2-1012-G1-2-in-1-Tablet-Intel-Core-M5-6Y54-8GB-RAM-256GB-SSD-Win10,$190.00,Free Shipping
20,Acer-Nitro-5-15-6-FHD-Gaming-Laptop-Computer-Intel-Core-i5-8300H-1TB-GTX-1050,$152.50,+$21.83 shipping
21,Dell-Inspiron-3580-15-6-Laptop-Computer-Intel-Core-i5-8265U-256GB-SSD,$8.50,+$21.14 shipping
22,HP-G60-LAPTOP-Notebook-Computer-G60t-200-2GB-Ram-500GB-HD-WoW-LQQK,$129.00,+$21.10 shipping
23,BEAUTIFUL-ASUS-15-6-Full-HD-1920x1080-3-70GHz-128GB-SSD-4GB-THIN-LIGHT-Laptop,$327.74,Free Shipping
24,HP-15-ac121dx-15-6-TouchScreen-Laptop-Core-i3-5010U-6GB-1TB-Win-10-DVD-WebCam,$159.95,Free Shipping
25,New-Lenovo-IdeaPad-S340-81N8009FUS-15-6-FHD-Laptop-i5-8265U-12GB-512GB-SSD,$494.49,Free Shipping
26,Newest-HP-15-6-Touchscreen-Laptop-2TB-HDD-Quad-Core-i5-CPU-8GB-DVD-Win-10,$359.99,Free Shipping
27,LENOVO-Thinkpad-T560-20-FH-Core-i5-6300U-2-4GHz-8Gb-256Gb-15-6-Clean,$400.00,Free Shipping
28,Dell-latitude-E5570-FHD-i5-6300U-vPro-8GB-256GB-SSD-Warranty-2021-Laptop-Win-1,$249.95,Free Shipping
29,HP-350-G2-15-6-Laptop-w-Intel-Core-i5-5200U-2-20GHz-4GB-RAM-320GB-HDD,$49.99,+$12.02 shipping
30,Dell-Latitude-E6530-15-6-Laptop-Core-I5-3340M-2-60GHz-4GB-RAM-500GB-HDD,$119.99,Free Shipping
31,Lenovo-IdeaPad-130-15AST-15-6-AMD-A9-9425-4GB-128GB-SSD-Radeon-R5-DVD-RW-Laptop,$262.75,Free Shipping
32,Microsoft-Surface-Book-Laptop-i7-6600U-2-6GHz-16GB-RAM-512GB-Win-10-Office,$300.00,Free Shipping
33,2020-HP-15-6-TouchScreen-Laptop-i3-1005G1-i5-7200U-3-4GHz-16GB-RAM-1TB-SSD,$600.00,Free Shipping
34,LENOVO-LAPTOP-THINKPAD-NOTEBOOK-WINDOWS-10-DVDRW-i5-2-40GHz-320GB-HD-4GB-WiFi-PC,$389.00,Free Shipping
35,HP-X2-Detachable-10-p018wm-10-1-Touch-Laptop-Atom-X5-Z8350-4GB-RAM-64GB-SSD,$148.98,Free Shipping
36,HP-Stream-14-AMD-A4-1-00GHz-2GB-RAM-32GB-SSD-14-Win10-Laptop,$149.99,Free Shipping
37,DELL-Laptop-15-6-P51F-Intel-Core-i3-2-4GHz-8GB-RAM-1TB-HDD-Windows-10,$24.99,+$12.25 shipping
38,Dell-Latitude-E6320-Laptop-160GB-Windows-10-4GB-i5-2-5GHZ-13-TESTED,$229.89,Free Shipping
39,DELL-LAPTOP-LATITUDE-E5420-2-5ghz-8GB-320GB-HD-14-DVD-WINDOWS-10-WiFi-HDMI-PC,$144.95,Free Shipping
40,Grade-B-HP-Stream-14-ax010wm-Laptop-Intel-Celeron-N3060-1-6ghz-4gb-RAM-32gb,$189.95,+$10.00 shipping
41,NEW-HP-ba015wm-15-6-Laptop-AMD-Quad-Core-E2-7110-4GB-RAM-500GB-HDD-Win10-DVDRW,$85.00,Free Shipping
42,Dell-Latitude-E6420-Laptop-Windows-7-Core-i5-2-5-Ghz-8GB-RAM-1TB-HD-DVDRW-WIFI,$294.88,Free Shipping
43,Lenovo-ThinkPad-X1-Yoga-14-Laptop-2-60GHz-Core-i7-6600U-8GB-DDR3-256GB,$249.00,+$17.46 shipping
44,HP-X2-12-F014DX-12-3-Touchscreen-Chromebook-Intel-Core-M3-4GB-32GB-eMMC,$219.99,Free Shipping
45,Dell-Latitude-E5410-Intel-i5-4GB-RAM-250GB-HDD-Windows-10-Laptop-Notebook,$349.99,+$14.99 shipping
46,Razer-Blade-15-Gaming-Laptop-i7-8750H-RTX-2070-MaxQ-16GB-256GB-SSD-Open-box,$79.00,Free Shipping
47,Dell-Latitude-E7240-Laptop-Core-i7-4600U-8GB-256GB-SSD-12-5-HD-Windows-10-Pro,"$1,599.99",+$13.00 shipping
48,Alienware-M17-17inch-i7-1-TB-SSD-GTX-2080-8-GB-Laptop-FAST-SHIPPING,$199.99,Free Shipping
49,New-Dell-Inspiron-14-Laptop-10th-Gen-i5-1035G4-3-7Ghz-32GB-RAM-2TB-SSD,"$1,699.00",Free Shipping
50,HP-ProBook-6475b-14-Laptop-w-AMD-A10-4600M-2-30GHz-4GB-RAM-250GB-HDD,$334.95,+$11.86 shipping
51,Dell-Latitude-3189-11-6-64GB-4GB-1-1GHz-Intel-Celeron-N3350-W10-Pro-TOUCH,$54.99,Free Shipping
52,Toshiba-P855-Basic-Gaming-Laptop-15-6-1TB-HDD-i7-3610QM-2-3GHz-8GB-RAM,$134.99,+$17.10 shipping
53,Lot-Of-5-Dell-Latitude-3330-Laptops-1-50GHz-Intel-Celeron-4GB-RAM-No-HDD,$299.00,+$23.13 shipping
54,NEW-HP-Stream-14-Laptop-Celeron-N3060-4GB-RAM-32GB-32-GB-eMMC-Windows-10,$19.99,+$12.80 shipping
55,DELL-INSPIRON-M5030-LAPTOP-AMD-ATHLON-II-P340-2-20GHz-3GB-320GB-HARD-DRIVE,$174.50,Free Shipping
56,HP-15-6-Pavilion-Laptop-15-dk0056nr-Core-i5-9300H-2-4GHz-8GB-512GB-GTX-1650,$60.00,Free Shipping
57,Dell-Latitude-E5450-Laptop-i5-5300u-5th-GEN-CPU-8GB-RAM-256GB-SSD-WIN-10-PRO,$550.00,+$15.70 shipping
58,HP-ELITEBOOK-FOLIO-1040-G1-I7-4650U-1-70GHz-4-GB-RAM-NO-HDD-OS,$149.00,Free Shipping
59,2019-Newest-Lenovo-330S-15-6-Laptop-Intel-i3-8130U-i5-7200-20GB-RAM-1TB-SSD,$159.00,Free Shipping
60,Acer-Nitro-5-15-6-Gaming-Laptop-AMD-Ryzen-5-2500U-2GHz-8GB-Ram-1TB-HDD-W10H,$299.00,Free Shipping
61,Dell-Latitude-5289-12-5-2-in-1-i7-7600U-2-8GHz-16GB-RAM-256GB-SSD,$529.99,Free Shipping
62,DELL-Latitude-E5470-Laptop-iSeries-i5-6300U-2-4GHz-8GB-128GB-SDD-14-NO-OS,$449.00,Free Shipping
63,Dell-Latitude-3340-Laptop-i3-1-7GHz-4GB-250GB-Webcam-HDMI-Complete,$170.00,Free Shipping
