,name,price,ship cost
0,Dell-Latitude-15-6-Inch-HD-Laptop-Windows-10-Pro-Intel-Core-i5-16GB-RAM-2TB-SSD,$233.00,Free Shipping
1,Dell-Latitude-Laptop-Computer-Core-2-Duo-15-LCD-4GB-DVD-Windows-10-Pro-HD,$135.00,Free Shipping
2,Dell-Latitude-Gaming-Laptop-Windows-10-2-70GHz-Intel-Core-i5-8GB-500GB-PC-WebCam,$289.00,Free Shipping
3,856-Lenovo-ThinkPad-T440-i5-8GB-128GB-SSD-Laptop-Computer-Windows-10-Red,$179.00,Free Shipping
4,851-Lenovo-ThinkPad-T440-i5-8GB-128GB-SSD-Laptop-Computer-Windows-10-Green,$179.00,Free Shipping
5,Lenovo-ThinkPad-X240-12-5-Laptop-i5-4300U-180GB-SSD-8GB-RAM-NO-OS-AC,$89.98,Free Shipping
6,MICROSOFT-SURFACE-BOOK-LAPTOP-13-5-TOUCH-I5-8350U-8GB-256GB-READ-GRD-A-A42,$105.50,Free Shipping
7,HP-ProBook-650-G1-Intel-Core-i5-2-60GHz-4GB-Ram-Laptop-Integrated-Graphics,$124.95,+$7.95 shipping
8,Vintage-Dell-Latitude-C610-Windows-98-DOS-Gaming-CNC-Embroidery-Laptop-Pentium,$79.95,Free Shipping
9,Lenovo-ThinkPad-T440p-14in-500GB-Intel-Core-i5-4th-Gen-8GB-Notebook-Laptop,$97.00,Free Shipping
10,HP-G60-LAPTOP-Notebook-Computer-G60t-200-2GB-Ram-500GB-HD-WoW-LQQK,$127.00,+$21.10 shipping
11,HP-14-Stream-Laptop-Intel-N3060-2-48GHz-32GB-SSD-4GB-RAM-BT-Windows-10-Grey,$129.00,Free Shipping
12,BRAND-NEW-Acer-Chromebook-14-Intel-Atom-X5-Quad-Core-Processor-14-HD-4GB,$164.99,Free Shipping
13,Lenovo-T440s-i5-4300U-1-9GHz-8GB-128GB-SSD-Windows-10-14-Laptop,$139.00,Free Shipping
14,Refurbished-Laptop-Black-Acer-Chromebook-Dual-Core-WiFi-Chrome-OS-Webcam-HDMI,$130.00,Free Shipping
15,DELL-Latitiude-15-4-HD-Screen-Laptop-Intel-2-4GHz-4GB-1TB-DVD-RW-Windows-10-Pro,$79.99,Free Shipping
16,HP-15-6-Touchscreen-Laptop-Computer-Intel-Core-i5-7200U-2TB-Silver-Black,$139.95,+$19.81 shipping
17,HP-Stream-Laptop-11-HD-Display-Intel-N4000-32GB-HD-Windows-10-S-11-AH131NR-Clean,$76.80,+$5.00 shipping
18,Dell-Latitude-7280-Laptop-Core-i5-7300U-2-6GHZ-16GB-512GB-M-2-SSD-12-5-W10P-FHD,$89.00,Free Shipping
19,HP-EliteBook-840-G1-14-Laptop-Intel-i3-4010U-1-7GHz-4GB-128GB-SSD-Windows-10,$309.99,Free Shipping
20,HP-Elite-x2-1012-G1-2-in-1-Tablet-Intel-Core-M5-6Y54-8GB-RAM-256GB-SSD-Win10,$129.99,Free Shipping
21,Newest-HP-15-6-Touchscreen-Laptop-2TB-HDD-Quad-Core-i5-CPU-8GB-DVD-Win-10,$190.00,Free Shipping
22,Dell-Latitude-E6530-15-6-Laptop-Core-I5-3340M-2-60GHz-4GB-RAM-500GB-HDD,$359.99,Free Shipping
23,Dell-Latitude-Laptop-Computer-Core-2-Duo-4GB-DVD-CDRW-Windows-10-Pro-SSD-Drive,$119.99,Free Shipping
24,DELL-LATITUDE-LAPTOP-COMPUTER-CORE-DUO-2-GB-WiFi-DVD-Windows-10-NOTEBOOK-PC-HD,$139.00,Free Shipping
25,Dell-Inspiron-3558-15-i3-5005U-2-00GHz-4GB-500GB-WIN-10-WORKS-MISSING-A-KEY,$128.00,+$14.95 shipping
26,Microsoft-Surface-Pro-2-1601-Laptop-i5-4300U-CPU-8GB-RAM-256GB-SSD-KEYBOARD,$99.95,Free Shipping
27,Acer-Swift-1-14-Laptop-Full-HD-Intel-64GB-SSD-SF114-32-P2PK-Silver-NEW,$189.99,Free Shipping
28,ASUS-X502C-15-6-Laptop-Intel-2117U-1-80GHz-4GB-RAM-500GB-HDD-Windows-10,$198.89,+$15.00 shipping
29,New-HP-ProBook-450-G6-Business-Laptop-15-6-HD-i5-8265U-4GB-500GB-Win10Pro,$119.99,Free Shipping
30,Lenovo-Laptop-Ultrabook-ThinkPad-Yoga-12-i5-256GB-SSD-8GB-Windows-8-1-Pro,$529.00,Free Shipping
31,NEW-Samsung-Chromebook-3-11-6-HD-Intel-Atom-x5-E8000-4GB-RAM-16GB-eMMC-Webcam,$170.00,Free Shipping
32,Acer-Aspire-5-Intel-i5-8265U-1-60GHz-8GB-Ram-256GB-SSD-Windows-10-Home,$139.99,Free Shipping
33,Dell-Inspiron-14-HD-Intel-i5-Quad-Core-3-7GHz-128GB-SSD-4GB-UHD-Graphics-Win-10,$379.99,Free Shipping
34,512GB-Microsoft-Surface-Book-i7-6600U-SSD-16GB-RAM-GeF-Touchscreen-Laptop-Tablet,$309.99,Free Shipping
35,HP-ELITEBOOK-840-G2-INTEL-CORE-i5-5300U-2-3GHZ-8GB-RAM-14-LAPTOP-WARRANTY-B3,$649.00,+$9.99 shipping
36,Getac-B300-H-Touch-ruggedized-Laptop-i5-2520M-8GB-ram-128GB-SSD-GOBI-2000-GPS,$129.99,+$17.10 shipping
37,New-Asus-ROG-G531GT-15-6-FHD-Gaming-Laptop-i7-9750H-8GB-512GB-SSD-GTX-1650,$3.00,Free Shipping
38,DELL-LAPTOP-LATiTUDE-CORE-4GB-8GB-250GB-1TB-HD-SSD-15-6-DVD-WINDOWS-10-WiFi-PC,$854.49,Free Shipping
39,HP-EliteBook-8460p-Laptop-i5-2-5GHZ-4GB-DDR3-Windows-10-Battery-TESTED,$173.95,Free Shipping
40,HP-Pavilion-x360-Touchscreen-Laptop-i3-8130U-8GB-DDR4-500GB-HDD-Refurbished,$109.95,Free Shipping
41,Lenovo-120S-14IAP-Winbook-14-HD-N3350-1-1GHz-2GB-32GB-W10H-Laptop-81A5-U,$319.99,Free Shipping
42,Dell-Latitude-E6540-15-6-Laptop-with-Intel-Core-i7-2-70GHz-4GB-RAM-250GB-HDD,$79.99,+$11.86 shipping
43,1769-SURFACE-LAPTOP-13-5-TOUCH-BLUE-I5-8250U-256GB-SSD-8GB-GRADE-A-A42,$149.99,Free Shipping
44,Dell-Inspiron-3580-15-6-Laptop-Computer-Intel-Core-i5-8265U-256GB-SSD,$52.00,+$21.14 shipping
45,HP-14-Thin-Lightweight-Laptop-Intel-2-60GHz-4GB-Ram-64GB-SSD-Drive-Windows-10,$8.50,Free Shipping
46,Dell-Latitude-E6430-Laptop-Notebook-i7-3740QM-2-7GHz-8GB-256GB-SSD-DVDRW-No-OS,$169.66,Free Shipping
47,HP-PROBOOK-6460B-14-Laptop-i5-2410m-8GB-RAM-500GB-WiFi-DVD-RW,$139.99,Free Shipping
48,HP-EliteBook-8440p-14-Intel-Core-i7-620M-2-67GHz-4GB-320GB-HDD-W10-Pro,$119.99,Free Shipping
49,Lenovo-T420S-4173-BJ9-14-Laptop-Intel-Core-i7-2640M-2-8GHz-8GB-RAM-500GB-HDD,$139.95,Free Shipping
50,Panasonic-Toughbook-CF-C2-12-5-Convertible-Laptop-i5-4300U-1-9-4GB-RAM-500HD,$110.50,Free Shipping
51,LENOVO-THINKPAD-TWIST-S230u-INTEL-CORE-i7-3517U-1-9GHz-8GB-RAM-12-5-LAPTOP-B3,$135.99,+$9.99 shipping
52,GRADE-B-Surface-Pro-4-1724-i5-6300U-256GB-SSD-8GB-RAM-w-Keyboard,$169.99,Free Shipping
