,1.Video Name,2.Streamer,3.Release Time,4.View Times,5.Link
63,【明日方舟】当博士把干员的耳朵和尾巴剪掉会发生什么（第二弹）,乱小码,2019-08-31,16.6万,//www.bilibili.com/video/av66091651?from=search
64,当博士试图让人事部招募能天使【明日方舟】,M1887-壬左,2019-05-19,129.9万,//www.bilibili.com/video/av52954467?from=search
65,【明日方舟】cos还原美人鱼名场面，阿米娅：博士说了要给我精二的！,千伐子黎人,2019-07-27,113.4万,//www.bilibili.com/video/av60934257?from=search
66,【朱一旦】12 找了个营养学博士给我定制了食谱，有钱人的快乐就是这么朴实无华且枯燥,朱一旦的枯燥生活,2019-06-26,262.0万,//www.bilibili.com/video/av56860873?from=search
67,非诚勿扰:中科院博士来相亲，众人猜长相，出场令人惊艳!,A小夜冥,2019-06-03,92.8万,//www.bilibili.com/video/av54469199?from=search
68,【明日方舟】擅长整活的抖M非洲博士古米喜欢吗？,老白烧录卡,2020-01-22,15.7万,//www.bilibili.com/video/av84493357?from=search
69,男博士在郑州理发店“被”纹眉，收费11.98万元：我胆小，被恐吓了,腾讯新闻搬运工,2020-01-10,15.6万,//www.bilibili.com/video/av82786003?from=search
70,【明日方舟手书】喜欢上博士的蓝毒酱？,元素领主墨元素,2019-08-16,29.6万,//www.bilibili.com/video/av63826757?from=search
71,赫    鲁    晓    夫    的    屋    顶，僵尸博士去世高能2，本内容纯属虚构，请勿模仿,ッ澪の漂落,2020-01-27,8488,//www.bilibili.com/video/av85261578?from=search
72,女人唱歌博士死,是符领QAQ,2020-01-20,2.2万,//www.bilibili.com/video/av84328348?from=search
73,史上最黑心游戏厂商，为什么却被无数玩家喊爸爸？【X博士奇谈】,游戏X博士,2019-11-29,31.3万,//www.bilibili.com/video/av77431187?from=search
74,博士发现人死后有来世，人类疯狂了，400万人结束了自己的生命,沙僧杖电影,2019-10-09,63.8万,//www.bilibili.com/video/av70679478?from=search
75,【灯泡动画】你这个不合格的博士！！！丢人！马上给我退...,大大大灯泡,2019-05-18,136.3万,//www.bilibili.com/video/av52767852?from=search
76,北大博士后出国失联20年 得知母亲病危只回了七个字,腾讯新闻搬运工,2019-12-04,41.0万,//www.bilibili.com/video/av77991518?from=search
77,僵王博士瞬间暴毙,凛柚君,2019-08-19,40.5万,//www.bilibili.com/video/av64454303?from=search
78,【明日方舟】白面鸮：博士又想一些奇怪的事情了！？,罩中降z,2019-08-17,18.1万,//www.bilibili.com/video/av64160203?from=search
79,大木博士真吃了宝可梦,无知有畏,2018-12-22,16.9万,//www.bilibili.com/video/av38780915?from=search
80,【明日方舟/像素动画】还剩一发保底的博士，会做出什么选择呢？,wswhr666,2020-01-22,5521,//www.bilibili.com/video/av84522627?from=search
81,【沙雕配音】明日方舟：把活动肝完开始长草期的博士,逗比寒MillerRHan,2020-01-06,26.8万,//www.bilibili.com/video/av82330157?from=search
82,【漫展】当一群博士遇到弑君者，迫害开始了......,拔旗,2019-07-20,66.7万,//www.bilibili.com/video/av59923348?from=search
83,【明日方舟】蓝毒为什么喜欢博士？,夏目叶子_,2019-07-07,46.6万,//www.bilibili.com/video/av58189779?from=search
