,1.Video Name,2.Streamer,3.Release Time,4.View Times,5.Link
0,因疫情无法返家，清华博士宅在家给猫讲函数,青墨染指Lrn,2020-01-26,33.5万,//www.bilibili.com/video/av85163377?from=search
1,【我们都是梦想家】中科院博士生的日常崩溃 记录我们有趣的一天  @中科院化学研究所 / 国科大,周好方,2020-01-09,27.1万,//www.bilibili.com/video/av82622148?from=search
2,医学博士：武汉新型冠状病毒可不可怕？ 和SARS有什么区别？ 如何有效预防？,兔叭咯,2020-01-22,384.5万,//www.bilibili.com/video/av84513261?from=search
3,【岁红霞】博士，我穿这身香艳吗？,韩chan,2020-01-17,10.5万,//www.bilibili.com/video/av83778388?from=search
4,腾讯重拳出击！2020年中国端游换发第二春？【X博士奇谈】,游戏X博士,2020-01-27,16.5万,//www.bilibili.com/video/av84663119?from=search
5,清华博士宅在家给猫讲函数，猫：我为人类付出的太多了...,腾讯新闻搬运工,2020-01-27,4.3万,//www.bilibili.com/video/av85217513?from=search
6,因疫情无法返乡，清华博士宅在家给猫讲函数！,是牧羊人,2020-01-27,5.7万,//www.bilibili.com/video/av85215459?from=search
7,【纪录片 / 犯罪】当代福尔摩斯-科学神探：李昌钰博士之蛛丝马迹 【2004】【美国】,缺氧幼稚鬼,2018-03-04,26.2万,//www.bilibili.com/video/av20363064?from=search
8,【明日方舟】（真正的博士）4-4无干员通关,天堂希安,2019-05-18,102.7万,//www.bilibili.com/video/av52816222?from=search
9,【寒假Vlog 3】同济女博士的假期/ 首次公开我的年龄/ 为什么一定要这么努力？/一起提高吧！Vol.3,兰卡lanka,2020-01-22,2.7万,//www.bilibili.com/video/av84560879?from=search
10,假期早起自律生活|博士小姐姐晨间外语学习打卡,路得_Ruth,2020-01-22,19.2万,//www.bilibili.com/video/av84509265?from=search
11,清华数学系博士朝神讲解高考数学卷，都是送分题哇,叶子2014,2016-06-09,179.3万,//www.bilibili.com/video/av4914657?from=search
12,【灯泡动画】博士为了赚钱不惜带着干员们去拍片儿？？,大大大灯泡,2019-06-08,219.3万,//www.bilibili.com/video/av54754681?from=search
13,【编程】清华计算机准博士现场写新手看了“哇”老手看了“不过如此”的代码！手速和笑我承包了！,沈瑶白,2020-01-13,10.5万,//www.bilibili.com/video/av83224537?from=search
14,一个初中毕业生，终生不婚，荒野舍命工作20年，被一群博士封神！,一条视频,2018-11-02,5.5万,//www.bilibili.com/video/av35106716?from=search
15,【僵王博士的13种死法】春哥表现最差，1437几乎完美？,Yan2k,2020-01-17,8.1万,//www.bilibili.com/video/av83815441?from=search
16,魔兽史上最神秘反派！铺垫了十几年终于现身【X博士特别版】,游戏X博士,2020-01-18,12.4万,//www.bilibili.com/video/av83837269?from=search
17,【明日方舟】博士人,桃子头R,2019-05-19,71.4万,//www.bilibili.com/video/av52897226?from=search
18,医学博士：如何做到每天合理睡眠？ I 如何解决一学习就困？,兔叭咯,2019-09-21,275.2万,//www.bilibili.com/video/av68512912?from=search
19,物理博士帮你36分钟攻略高考物理,魔法小分队队长,2019-03-06,89.4万,//www.bilibili.com/video/av45504946?from=search
