"index","id","y","x1","x2","x3","x4","x5","x6","x7"
"1",1,2904.5,24,55,31,3,0,7,20
"2",2,1706.7,5,25,39,3,1,4,30
"3",3,3083.5,17,60,45,3,0,8,32
"4",4,3949.2,26,67,35,2,1,8,22
"5",5,5072.2,45,72,39,1,1,10,27
"6",6,3409.7,14,89,41,4,1,14,23
"7",7,4380.5,41,33,43,2,0,5,35
"8",8,3399,8,96,43,2,0,14,28
"9",9,5800.2,51,97,47,2,1,11,34
"10",10,4507.5,44,75,36,3,0,10,22
"11",11,4551.2,46,88,43,2,1,8,30
"12",12,4506,46,23,41,3,0,3,33
"13",13,2766.7,31,20,38,4,1,2,31
"14",14,4091.2,31,70,33,1,1,9,19
"15",15,3239.2,3,95,37,3,1,15,17
"16",16,2842.5,5,97,47,1,0,15,30
"17",17,4295.5,30,96,47,3,0,16,30
"18",18,3673.5,23,74,46,4,0,10,31
"19",19,3366,36,39,46,3,0,4,39
"20",20,3727.2,27,95,42,1,1,9,29
"21",21,2275,6,39,49,2,0,5,40
"22",22,4140,36,44,32,3,0,6,21
"23",23,5109.2,49,56,48,1,1,6,41
"24",24,1771,8,22,34,1,0,2,31
"25",25,4155.5,25,74,37,1,0,11,24
"26",26,1820,1,37,42,2,0,5,36
"27",27,3183.5,23,20,33,1,0,2,26
"28",28,3461,23,50,30,1,0,6,19
"29",29,2367.2,14,50,34,3,1,7,23
"30",30,2900.2,27,53,30,1,1,6,23
"31",31,4096,26,58,48,4,0,8,36
"32",32,3952.5,38,68,43,2,0,10,29
"33",33,4090.7,33,58,37,3,1,6,26
"34",34,2976,10,60,48,1,0,7,37
"35",35,3044.7,19,43,45,3,1,7,36
"36",36,4347.2,34,85,41,2,1,12,26
"37",37,2693.5,2,56,48,1,0,9,34
"38",38,3223.5,18,36,30,2,0,6,21
"39",39,5512.5,41,91,46,2,0,15,27
"40",40,3097.5,8,65,37,1,0,7,26
"41",41,3690.7,19,89,40,1,1,10,26
"42",42,3250.7,30,47,33,4,1,7,25
"43",43,3261.7,16,86,39,1,1,9,26
"44",44,3624.2,30,36,41,4,1,5,32
"45",45,3920.5,35,35,40,1,0,5,34
"46",46,3444.7,13,84,36,1,1,8,26
"47",47,4989.2,46,86,40,1,1,10,29
"48",48,2272.7,6,27,39,3,1,2,34
"49",49,4936.7,50,67,35,2,1,8,23
