,Name,Adj.Vol(24h),Volume(24h),Volume(7d),Volume(30d),No.Markets,Change(24h)
82,BTC-Alpha,"$52,847,828","$52,847,828","$493,836,973","$1,470,552,144",97,-34.75%
83,bitFlyer,"$50,854,115","$53,131,892","$601,159,332","$1,764,468,451",5,-47.05%
84,Shortex ,"$49,567,606","$49,567,606","$299,225,009","$1,243,972,010",12,-4.15%
85,KuCoin,"$48,970,800","$48,970,800","$452,641,401","$1,431,751,005",421,-29.63%
86,Coinone,"$40,987,677","$40,987,677","$417,260,803","$1,529,866,568",70,-37.37%
87,Poloniex,"$40,081,923","$40,081,923","$488,570,525","$1,601,681,047",129,-49.82%
88,ZBG,"$39,927,028","$39,927,028","$311,362,919","$1,187,695,637",46,-32.69%
89,ProBit Exchange,"$36,343,597","$36,343,597","$233,409,885","$960,660,278",345,-6.95%
90,Paritex,"$34,535,147","$34,535,147","$203,144,027","$865,949,325",15,-9.16%
91,AAX,"$33,504,844","$33,504,844","$115,151,650","$240,872,571",50,29.40%
92,BBX,"$28,498,161","$28,498,161","$149,046,157","$564,239,948",8,17.57%
93,Gate.io,"$27,300,491","$27,300,491","$376,219,055","$1,442,245,313",412,-40.74%
94,BtcTurk | Pro,"$27,118,942","$27,118,942","$332,305,799","$1,096,147,138",33,-40.73%
95,Bitbank,"$26,559,787","$26,559,787","$289,866,826","$837,262,014",8,-38.52%
96,Bittrex,"$26,013,804","$26,013,804","$251,145,020","$806,355,140",377,-27.17%
97,Bitvast,"$26,012,141","$26,012,141","$254,256,221","$877,414,117",14,-21.38%
98,CoinField,"$25,295,073","$25,295,073","$245,068,611","$797,753,957",63,-39.01%
99,ChainX,"$24,152,735","$24,152,735","$139,555,904","$680,546,569",16,-0.45%
100,BitBay,"$23,168,668","$23,168,668","$245,782,409","$764,362,838",85,-48.69%
101,VELIC,"$21,695,080","$21,695,080","$116,647,504","$256,610,289",25,-5.01%
102,Livecoin,"$21,598,607","$21,598,607","$118,965,570","$493,884,670",246,22.37%
103,STEX,"$21,577,399","$21,577,399","$126,991,524","$591,848,580",184,2.00%
104,Paribu,"$17,899,552","$17,899,552","$208,025,755","$676,314,501",21,-37.25%
105,Nocks,"$16,823,773","$16,823,773","$33,488,733","$81,235,574",5,> 9000%
106,Bithumb Singapore,"$16,796,702","$16,796,702","$97,925,420","$422,768,616",25,1.51%
107,ABCC,"$16,726,042","$16,726,042","$102,396,722","$515,013,220",4,0.34%
108,Mercatox,"$16,450,342","$16,450,342","$94,754,310","$404,488,755",408,1.05%
109,Exmo,"$16,221,897","$16,221,897","$115,294,762","$451,241,412",167,-2.82%
110,Huobi Russia,"$16,170,840","$16,170,840","$167,107,329","$876,646,252",102,-28.53%
111,ExMarkets,"$15,770,806","$15,770,806","$145,264,765","$424,790,259",41,-35.60%
112,SatoExchange,"$15,654,988","$15,654,988","$109,455,638","$356,292,332",27,41.40%
113,Huobi Korea,"$15,558,314","$15,558,314","$161,112,794","$656,961,071",459,-31.94%
114,YunEx,"$14,675,316","$14,675,316","$84,887,918","$369,756,708",24,0.70%
115,Coinall,"$14,644,134","$14,644,134","$83,201,810","$384,024,971",115,-20.15%
116,FOBLGATE,"$14,020,536","$14,020,536","$78,650,442","$309,011,612",9,168.87%
117,Coindeal,"$13,258,391","$13,258,391","$68,761,193","$295,752,234",47,-0.32%
